COUNTY NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
APPLING,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ATKINSON,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BACON,0.00,21.90,16.79,0.00,0.00,12.50,0.00,0.00,33.33,0.00,0.00,8.330,0.00,11.11,12.50,0.00,34.89,39.46,0.00,8.590,5.170,31.47
BAKER,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BALDWIN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BANKS,0.00,2.510,0.820,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.560,0.00,11.70,13.44,0.00,0.00,2.830,11.52
BARROW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BARTOW,0.00,2.910,2.030,0.00,2.140,1.630,0.00,0.00,9.520,0.00,0.990,0.660,0.00,1.280,1.950,0.00,7.690,8.270,0.00,1.010,0.860,6.550
BEN HILL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BERRIEN,0.00,4.370,4.550,0.00,0.00,3.850,0.00,0.00,0.00,0.00,5.000,0.00,0.00,0.00,0.00,0.00,11.86,15.12,0.00,1.300,0.860,11.59
BIBB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BLECKLEY,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BRANTLEY,0.00,7.020,9.480,0.00,6.250,7.140,0.00,0.00,0.00,0.00,8.330,6.250,0.00,14.29,25.00,0.00,29.55,32.05,0.00,18.79,15.04,29.28
BROOKS,0.00,5.580,2.610,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,6.670,0.00,0.00,4.200,3.760,0.00,14.31,8.720,6.860
BRYAN,0.00,4.980,3.910,0.00,3.500,1.040,0.00,8.330,0.00,0.00,2.880,3.360,0.00,1.900,5.610,0.00,10.04,9.410,0.00,1.600,1.660,7.890
BULLOCH,33.33,4.440,4.330,0.00,0.620,3.910,0.00,0.00,0.00,0.00,2.810,1.810,0.00,4.070,1.690,0.00,16.17,15.58,0.00,0.660,0.960,10.84
BURKE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BUTTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CALHOUN,0.00,18.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.83,10.79,0.00,19.46,17.35,15.44
CAMDEN,0.00,0.040,0.080,0.00,0.410,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.150,0.110,0.00,0.150,0.040,0.110
CANDLER,0.00,5.410,6.980,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.590,0.00,0.00,9.090,0.00,0.00,25.61,25.03,0.00,1.090,0.550,17.91
CARROLL,0.00,3.370,3.880,0.00,2.540,2.790,0.00,0.00,0.00,0.00,0.860,1.410,0.00,1.140,0.00,0.00,11.20,12.92,0.00,0.440,0.650,9.020
CATOOSA,0.00,3.050,3.420,0.00,1.740,2.860,0.00,0.00,0.00,0.00,1.170,0.00,0.00,3.820,2.650,3.850,9.410,11.12,0.00,1.320,1.350,9.170
CHARLTON,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.180,0.020
CHATHAM,0.00,0.170,0.120,0.00,0.00,0.110,0.00,1.610,0.00,0.00,0.00,0.00,0.00,0.100,0.00,0.00,0.220,0.250,0.00,1.870,1.510,0.770
CHATTAHOOCHEE,0.00,13.14,8.720,0.00,5.880,0.00,0.00,25.00,0.00,0.00,0.990,0.00,0.00,8.330,0.00,0.00,24.02,22.92,0.00,22.04,18.30,19.84
CHATTOOGA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CHEROKEE,3.850,0.560,0.550,0.00,0.370,0.530,0.00,3.920,0.00,0.00,0.250,0.310,0.00,0.110,0.440,0.00,1.180,1.310,0.00,0.150,0.190,1.090
CLARKE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CLAY,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CLAYTON,1.890,1.950,1.020,0.00,1.170,1.340,0.00,4.550,2.440,0.00,0.630,0.430,5.560,0.270,0.260,0.00,1.350,1.580,0.00,4.040,2.630,2.840
CLINCH,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
COBB,2.380,1.950,2.190,0.00,2.610,4.710,0.00,1.980,2.640,3.120,1.380,1.900,0.00,2.190,2.600,1.570,11.77,13.84,0.00,0.820,0.970,8.170
