AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,1.0,39.0,36.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,63.0,45.0,0.0,0.0,0.0,1.0,155.0,130.0,0.0,51.0,40.0,567.0
25-29,1.0,12.0,11.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,33.0,20.0,0.0,1.0,0.0,0.0,140.0,120.0,1.0,44.0,35.0,424.0
30-34,0.0,8.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,9.0,0.0,0.0,0.0,0.0,123.0,112.0,0.0,43.0,32.0,344.0
35-39,0.0,4.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,12.0,5.0,0.0,0.0,0.0,0.0,132.0,100.0,0.0,44.0,27.0,331.0
40-44,0.0,5.0,5.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,138.0,114.0,0.0,36.0,19.0,331.0
45-49,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,0.0,137.0,124.0,0.0,38.0,23.0,345.0
50-54,1.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,0.0,0.0,0.0,0.0,146.0,146.0,1.0,47.0,26.0,394.0
55-59,0.0,4.0,4.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,152.0,129.0,0.0,51.0,49.0,402.0
60-64,0.0,3.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,133.0,123.0,0.0,55.0,38.0,368.0
65-OVER,1.0,9.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,431.0,353.0,0.0,97.0,92.0,1001.0
TOTAL,4.0,92.0,85.0,0.0,8.0,12.0,0.0,5.0,1.0,1.0,154.0,115.0,0.0,1.0,1.0,1.0,1687.0,1451.0,2.0,506.0,381.0,4507.0
