AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,0.0,33.0,41.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,7.0,5.0,0.0,3.0,6.0,2.0,245.0,261.0,0.0,115.0,94.0,820.0
25-29,1.0,19.0,23.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,5.0,1.0,192.0,187.0,0.0,97.0,71.0,606.0
30-34,0.0,13.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,2.0,0.0,203.0,172.0,0.0,91.0,53.0,550.0
35-39,0.0,11.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,203.0,190.0,0.0,74.0,52.0,543.0
40-44,1.0,9.0,11.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,0.0,210.0,190.0,0.0,61.0,39.0,532.0
45-49,0.0,16.0,11.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,222.0,217.0,0.0,69.0,46.0,590.0
50-54,0.0,7.0,10.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,5.0,1.0,0.0,253.0,233.0,0.0,69.0,46.0,634.0
55-59,0.0,11.0,9.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,265.0,246.0,0.0,99.0,45.0,684.0
60-64,0.0,9.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,233.0,228.0,0.0,58.0,51.0,597.0
65-OVER,0.0,22.0,18.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,4.0,4.0,0.0,763.0,674.0,0.0,151.0,89.0,1734.0
TOTAL,2.0,150.0,149.0,1.0,15.0,13.0,0.0,3.0,3.0,0.0,27.0,18.0,0.0,23.0,25.0,4.0,2789.0,2598.0,0.0,884.0,586.0,7290.0
