PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
003,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1199,0.00,52.00,35.00,0.00,4.000,3.000,0.00,0.00,0.00,0.00,5.000,5.000,0.00,3.000,4.000,0.00,414.0,390.0,0.00,658.0,338.0,1911.0
1230,0.00,2.000,4.000,0.00,1.000,1.000,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0.00,1.000,0.00,90.00,71.00,0.00,25.00,14.00,211.0
1402,0.00,11.00,16.00,0.00,2.000,1.000,0.00,0.00,1.000,0.00,1.000,3.000,0.00,1.000,0.00,0.00,173.0,156.0,0.00,165.0,114.0,644.0
1650,0.00,24.00,26.00,0.00,1.000,5.000,0.00,2.000,0.00,0.00,9.000,6.000,0.00,3.000,0.00,0.00,493.0,453.0,0.00,81.00,59.00,1162.0
1712,0.00,4.000,8.000,0.00,0.00,1.000,0.00,0.00,0.00,0.00,3.000,1.000,0.00,0.00,0.00,0.00,135.0,114.0,0.00,48.00,24.00,338.0
659,0.00,10.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.000,0.00,0.00,0.00,0.00,1.000,179.0,173.0,0.00,23.00,15.00,415.0
660,0.00,26.00,26.00,0.00,4.000,3.000,0.00,0.00,2.000,0.00,12.00,4.000,0.00,1.000,0.00,0.00,373.0,369.0,0.00,155.0,85.00,1060.0
88888,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
99999,0.00,1.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.000
TOTAL,0.00,130.0,128.0,0.00,12.00,14.00,0.00,2.000,3.000,0.00,32.00,20.00,0.00,8.000,5.000,1.000,1857.0,1726.0,0.00,1155.0,649.0,5742.0
