PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
1,00000,29.75,20.61,00000,50000,12.50,00000,66.67,00000,00000,35000,14.29,00000,40000,30000,00000,55.33,56.36,00000,57.14,40.18,50.73
10,00000,47.37,44.70,00000,27.27,66.67,00000,10000,10000,00000,39.39,52.17,00000,36.36,55.56,66.67,56.49,58.02,00000,60.34,62.63,55.97
2,10000,30.11,29.01,00000,40000,60000,00000,00000,33.33,00000,36.36,44.44,00000,58.33,00000,00000,57.85,60.17,00000,50000,55.56,54.58
3,00000,26.03,31.06,00000,28.57,71.43,00000,50000,00000,00000,36.36,53.33,00000,10000,33.33,10000,52.17,50.78,00000,59.41,42.76,48.92
4,00000,32.79,34.40,00000,43.75,30000,00000,50000,50000,00000,35.29,18.18,00000,29.73,31.71,00000,48.17,46.62,10000,56.13,44.91,44.85
421,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
5,00000,31.46,28.71,00000,44.83,33.33,00000,33.33,50000,00000,25.24,23.53,00000,32.43,38.24,33.33,43.19,45.55,00000,50000,44.79,41.72
6,10000,52.08,50.42,00000,66.67,50000,00000,66.67,75000,00000,55.81,71.43,00000,25000,36.36,10000,62.79,63.91,00000,55.95,53.16,61.44
7,00000,45.53,44.58,00000,56000,30.77,00000,50000,10000,00000,55.32,43.18,00000,25000,57.14,00000,60.39,60.37,00000,67.98,55.98,58.04
8,75000,50.88,44.65,10000,65.38,42.86,00000,60000,50000,00000,44.21,46.67,00000,43.18,37.93,00000,59.58,63.33,10000,70.95,60.54,59.20
88888,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
9,00000,28.24,30.67,00000,50000,7.140,00000,33.33,44.44,00000,32.26,19.51,00000,57.14,22.73,00000,46.53,44.20,00000,45.59,41.98,42.20
TOTAL,33.33,38.66,36.36,100.0,50.61,36.64,00000,50.00,55.56,0.00,38.78,36.26,0.00,36.97,35.00,46.67,55.17,56.38,50.00,56.39,48.91,52.45
