PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
1,35.00,50.35,29.63,50.00,25.00,55.77,24.90,50.73
10,45.00,61.40,44.64,100.0,45.00,57.25,45.75,55.97
2,36.84,52.43,40.00,25.00,50.00,58.92,29.78,54.58
3,60.00,51.55,46.15,33.33,50.00,51.59,28.66,48.92
4,30.77,51.32,26.87,50.00,38.46,47.38,33.47,44.85
421,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,34.72,47.82,24.47,37.50,40.00,44.19,29.83,41.72
6,29.63,54.27,60.94,71.43,60.00,63.35,51.52,61.44
7,35.71,61.88,48.91,85.71,43.14,60.36,44.96,58.04
8,41.10,66.16,45.29,55.56,56.25,61.29,48.09,59.20
88888,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,36.11,44.24,27.18,41.67,35.00,45.47,29.49,42.20
TOTAL,35.97,53.12,37.64,53.03,44.59,55.73,37.47,52.45
