PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
BOWDON,1.0,146.0,140.0,0.0,13.0,12.0,0.0,6.0,1.0,0.0,8.0,10.0,0.0,4.0,3.0,1.0,1202.0,1046.0,0.0,257.0,200.0,3050.0
SANDHILL,1.0,173.0,213.0,0.0,21.0,15.0,0.0,5.0,3.0,0.0,35.0,42.0,0.0,14.0,3.0,6.0,1531.0,1371.0,1.0,355.0,304.0,4093.0
CENTER POINT,0.0,65.0,63.0,0.0,5.0,3.0,0.0,1.0,1.0,0.0,8.0,10.0,0.0,0.0,0.0,0.0,672.0,723.0,0.0,10.0,16.0,1577.0
MT ZION,1.0,100.0,121.0,2.0,7.0,6.0,0.0,2.0,1.0,0.0,10.0,8.0,0.0,11.0,11.0,2.0,1001.0,960.0,0.0,54.0,50.0,2347.0
BURWELL,1.0,48.0,52.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,10.0,13.0,0.0,3.0,3.0,0.0,634.0,578.0,0.0,44.0,42.0,1440.0
CLEM,1.0,135.0,144.0,0.0,15.0,10.0,0.0,3.0,0.0,0.0,23.0,18.0,0.0,5.0,4.0,2.0,1433.0,1315.0,0.0,161.0,161.0,3430.0
BOWDON JUNCTION,0.0,58.0,78.0,0.0,9.0,4.0,0.0,1.0,0.0,0.0,9.0,7.0,0.0,3.0,1.0,1.0,509.0,467.0,0.0,118.0,104.0,1369.0
TYUS,0.0,77.0,59.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,3.0,1.0,2.0,726.0,714.0,0.0,50.0,48.0,1697.0
FAIRFIELD,0.0,175.0,195.0,0.0,24.0,12.0,1.0,2.0,2.0,0.0,42.0,26.0,0.0,17.0,10.0,1.0,1449.0,1403.0,1.0,194.0,184.0,3738.0
HULETT,1.0,99.0,128.0,0.0,13.0,8.0,0.0,1.0,2.0,0.0,15.0,17.0,0.0,5.0,5.0,0.0,934.0,857.0,0.0,75.0,66.0,2226.0
BETHANY,0.0,256.0,217.0,0.0,19.0,13.0,0.0,4.0,2.0,0.0,55.0,45.0,0.0,7.0,5.0,3.0,1388.0,1290.0,0.0,563.0,496.0,4363.0
