PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
88888,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0.00,0.00,2.000
99999,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.000,2.000,0.00,0.00,0.00,4.000
BLCK,0.00,93.00,119.0,0.00,2.000,5.000,0.00,0.00,2.000,0.00,11.00,8.000,0.00,3.000,2.000,1.000,791.0,713.0,0.00,9.000,6.000,1765.0
BOYN,4.000,397.0,400.0,0.00,20.00,19.00,0.00,2.000,2.000,0.00,26.00,15.00,0.00,27.00,23.00,3.000,2555.0,2225.0,0.00,45.00,38.00,5801.0
CAKT,3.000,135.0,152.0,0.00,8.000,5.000,0.00,0.00,1.000,0.00,9.000,19.00,0.00,5.000,2.000,4.000,1061.0,1033.0,0.00,6.000,11.00,2454.0
CHAM,3.000,112.0,138.0,0.00,6.000,4.000,0.00,0.00,0.00,1.000,10.00,4.000,0.00,2.000,4.000,4.000,1101.0,1007.0,0.00,8.000,7.000,2411.0
FT O,1.000,312.0,302.0,0.00,12.00,13.00,0.00,4.000,4.000,0.00,17.00,15.00,0.00,27.00,13.00,4.000,1881.0,1435.0,1.000,62.00,54.00,4157.0
GRAY,4.000,312.0,326.0,0.00,17.00,11.00,0.00,2.000,1.000,0.00,22.00,10.00,0.00,16.00,14.00,3.000,1874.0,1617.0,1.000,31.00,39.00,4300.0
LAKE,1.000,287.0,277.0,0.00,9.000,10.00,0.00,2.000,2.000,0.00,17.00,7.000,0.00,10.00,17.00,2.000,1623.0,1256.0,0.00,47.00,41.00,3608.0
POPS,1.000,298.0,243.0,0.00,6.000,12.00,0.00,3.000,2.000,0.00,15.00,14.00,0.00,2.000,2.000,5.000,1789.0,1567.0,0.00,17.00,23.00,3999.0
RING,2.000,477.0,507.0,0.00,11.00,16.00,0.00,7.000,4.000,0.00,41.00,31.00,0.00,20.00,19.00,7.000,3261.0,2724.0,0.00,105.0,74.00,7306.0
WEST,2.000,499.0,505.0,0.00,16.00,20.00,0.00,1.000,4.000,0.00,38.00,24.00,0.00,18.00,21.00,6.000,2542.0,1914.0,0.00,89.00,65.00,5764.0
WOOD,0.00,158.0,189.0,0.00,6.000,6.000,0.00,2.000,0.00,0.00,8.000,6.000,0.00,4.000,2.000,3.000,1240.0,1149.0,0.00,21.00,32.00,2826.0
TOTAL,21.00,3080.0,3158.0,0.00,113.0,121.0,0.00,23.00,22.00,1.000,214.0,153.0,0.00,134.0,119.0,42.00,19721.0,16643.0,2.000,440.0,390.0,44397.0
