AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
25-29,0,17.07,4.71,0,16.67,0,0,0,0,0,0,0,0,0,0,0,13.37,9.15,0,21.43,10.13,10.38
30-34,0,2.86,8.11,0,16.67,0,0,0,0,0,0,0,0,0,100,0,18.84,10.08,0,13.56,13.04,11.9
35-39,0,13.04,10.34,0,0,22.22,0,0,0,0,23.08,20,0,0,25,0,15.27,16.67,0,29.03,13.16,17.12
40-44,0,17.39,16.67,0,50,0,0,0,0,0,11.76,30,0,0,20,0,28.57,24.14,0,30.36,29.73,25.63
45-49,0,12.5,15.38,0,16.67,50,0,0,0,0,0,16.67,0,0,0,0,36.47,32,0,38,40.54,32.11
50-54,0,11.76,23.08,0,100,0,0,100,0,0,50,12.5,0,0,0,0,34.94,40,0,53.33,37.14,37.11
55-59,0,16.67,33.33,0,100,100,0,0,0,0,100,50,0,0,0,0,44.16,58.21,0,62.5,62.50,53.97
60-64,0,16.67,66.67,0,0,0,0,0,0,0,0,0,0,33.33,100,0,59.76,62.86,0,76.47,66.67,61.86
65-OVER,0,28.57,57.14,0,0,0,0,0,0,0,25,0,0,50,0,0,52.9,63.25,0,60,57.78,56.85
TOTAL,0,13.22,12.68,0,23.08,12.5,0,25.0,0,0,10.34,9.09,0,6.06,14.81,0,31.16,31.12,0.0,40.08,32.72,28.94
