-,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
25-29,0.0,13.0,12.0,0.0,1.0,5.0,0.0,1.0,1.0,0.0,22.0,16.0,0.0,1.0,0.0,1.0,254.0,248.0,0.0,117.0,39.0,731.0
30-34,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,0.0,2.0,2.0,0.0,307.0,236.0,0.0,143.0,68.0,797.0
35-39,1.0,12.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,6.0,0.0,1.0,1.0,0.0,400.0,332.0,0.0,161.0,54.0,985.0
40-44,0.0,7.0,8.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,8.0,11.0,0.0,1.0,0.0,0.0,353.0,358.0,0.0,168.0,70.0,989.0
45-49,0.0,7.0,14.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,13.0,2.0,0.0,5.0,4.0,0.0,463.0,372.0,0.0,180.0,105.0,1168.0
50-54,0.0,7.0,8.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,4.0,0.0,434.0,402.0,0.0,225.0,121.0,1209.0
55-59,1.0,11.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,4.0,0.0,0.0,540.0,447.0,0.0,225.0,126.0,1373.0
60-64,0.0,7.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,6.0,0.0,503.0,448.0,0.0,183.0,122.0,1284.0
65-OVER,1.0,15.0,24.0,0.0,3.0,7.0,0.0,0.0,1.0,0.0,5.0,8.0,0.0,6.0,4.0,1.0,1368.0,1183.0,0.0,408.0,245.0,3279.0
TOTAL,3.0,87.0,91.0,0.0,10.0,16.0,0.0,3.0,6.0,0.0,83.0,64.0,0.0,21.0,21.0,2.0,4622.0,4026.0,0.0,1810.0,950.0,11815.0
