PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
MOULTRIE,47.8,52.14,50.0,50.21
AUTREYVILLE,53.53,54.7,0.0,54.08
BRIDGECREEK,66.67,66.26,0.0,66.46
CROSLAND,56.0,57.64,0.0,56.88
DOERUN,62.37,61.18,0.0,61.71
FUNSTON,64.37,69.33,0.0,67.1
HAMILTON,58.94,60.11,0.0,59.53
HARTSFIELD,72.22,66.03,0.0,68.87
HOPEWELL,58.84,59.86,50.0,59.36
LEE,53.36,53.67,0.0,53.53
MILLCREEK,55.26,69.41,50.0,62.77
MONK,60.7,62.66,0.0,61.75
MURPHY,70.32,69.68,100.0,70.02
NORMAN PARK,54.44,53.91,100.0,54.17
ROBINSON,62.59,60.27,28.57,61.11
THIGPEN,63.06,63.11,0.0,63.09
TYTY,57.14,55.06,0.0,56.05
WARRIOR,59.28,65.17,0.0,62.4
TOTAL,57.1,58.59,40.91,57.88
