PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
SENOIA,1.00,307.0,327.0,0.00,15.00,18.00,0.00,1.00,0.00,0.00,55.00,48.00,0.00,20.00,12.00,2.00,2194.0,1956.0,1.00,236.0,199.0,5392.0
MORELAND,0.00,103.0,154.0,1.00,3.00,3.00,0.00,0.00,0.00,0.00,10.00,10.00,0.00,10.00,4.00,1.00,1078.0,976.0,0.00,91.00,80.00,2524.0
PINE ROAD,1.00,107.0,95.00,0.00,6.00,8.00,0.00,1.00,1.00,0.00,16.00,8.00,0.00,4.00,4.00,1.00,791.0,728.0,0.00,59.00,62.00,1892.0
DRESDEN,0.00,44.00,53.00,0.00,6.00,2.00,0.00,0.00,1.00,0.00,5.00,1.00,0.00,4.00,0.00,1.00,355.0,334.0,0.00,24.00,27.00,857.0
NEWNAN,3.00,205.0,165.0,0.00,14.00,7.00,0.00,0.00,2.00,1.00,26.00,25.00,0.00,6.00,5.00,0.00,747.0,598.0,1.00,912.0,546.0,3263.0
SHARPSBURG,5.00,235.0,235.0,0.00,16.00,21.00,0.00,3.00,3.00,1.00,51.00,39.00,0.00,18.00,18.00,3.00,1857.0,1708.0,0.00,125.0,101.0,4439.0
FISCHER ROAD,3.00,263.0,264.0,0.00,22.00,18.00,0.00,1.00,3.00,1.00,69.00,50.00,0.00,34.00,22.00,2.00,1551.0,1538.0,2.00,196.0,172.0,4211.0
CEDAR CREEK,5.00,276.0,292.0,0.00,14.00,10.00,0.00,2.00,2.00,0.00,42.00,26.00,0.00,22.00,13.00,4.00,2127.0,1945.0,2.00,182.0,171.0,5135.0
GRANTVILLE,5.00,154.0,147.0,0.00,14.00,3.00,0.00,1.00,2.00,0.00,20.00,14.00,0.00,9.00,3.00,0.00,881.0,796.0,0.00,285.0,189.0,2523.0
HARALSON,1.00,103.0,129.0,1.00,7.00,6.00,0.00,0.00,0.00,0.00,14.00,9.00,0.00,5.00,6.00,2.00,873.0,792.0,0.00,105.0,79.00,2132.0
