AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
25-29,0.0,25.18,28.0,0.0,33.33,36.6,16.67,30.03
30-34,25.0,39.17,26.32,33.33,40.0,47.88,29.09,43.02
35-39,20.0,45.1,36.84,25.0,16.67,53.48,34.88,48.49
40-44,100.0,48.98,56.25,0.0,50.0,60.16,51.22,55.24
45-49,28.57,54.09,18.18,0.0,42.86,63.68,55.1,58.58
50-54,0.0,60.69,29.41,0.0,37.5,67.8,45.28,63.22
55-59,50.0,65.86,30.0,66.67,50.0,72.31,56.0,69.08
60-64,50.0,71.02,37.5,0.0,100.0,70.51,43.14,69.61
65-OVER,50.0,67.23,40.0,50.0,71.43,71.62,41.44,69.39
TOTAL,29.55,53.56,32.73,41.67,41.27,63.75,40.19,58.62
