PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
LONGSTREET,0.0,7.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,146.0,0.0,33.0,20.0,381.0
ELIAM,0.0,7.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,228.0,189.0,0.0,40.0,28.0,506.0
PETERSBURG,1.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,109.0,96.0,0.0,11.0,4.0,231.0
WYCHE,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,295.0,264.0,0.0,114.0,61.0,746.0
MOSS-RUCKERSVILLE,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,108.0,105.0,0.0,28.0,17.0,271.0
PIKE,0.0,18.0,18.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,3.0,0.0,306.0,297.0,0.0,158.0,128.0,938.0
GAINES,0.0,5.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,159.0,159.0,0.0,5.0,3.0,341.0
GOSHEN,1.0,13.0,18.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,1.0,4.0,0.0,0.0,419.0,373.0,0.0,55.0,39.0,932.0
WEBBSBORO,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,117.0,0.0,19.0,11.0,271.0
CENTERVILLE,0.0,8.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,260.0,248.0,0.0,33.0,25.0,595.0
TOTAL,2.0,67.0,86.0,0.0,6.0,5.0,0.0,2.0,0.0,0.0,19.0,14.0,1.0,9.0,3.0,0.0,2172.0,1994.0,0.0,496.0,336.0,5212.0
