,PRECINCT NAME,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,LONGSTREET,0.0,43.44,0.0,0.0,100.0,72.41,42.86,64.58
1,ELIAM,100.0,48.57,0.0,0.0,50.0,76.23,54.55,69.51
2,PETERSBURG,0.0,65.22,100.0,0.0,100.0,66.34,40.0,65.62
3,WYCHE,0.0,63.64,71.43,0.0,0.0,72.04,28.0,68.76
4,MOSS-RUCKERSVILLE,0.0,69.23,66.67,0.0,0.0,64.35,30.0,62.44
5,PIKE,55.56,59.09,40.0,0.0,66.67,65.9,43.9,62.2
6,GAINES,100.0,61.54,20.0,50.0,50.0,67.23,35.48,64.71
7,GOSHEN,71.43,50.0,58.33,100.0,25.0,64.81,38.55,61.44
8,WEBBSBORO,0.0,50.85,0.0,0.0,25.0,75.16,26.67,68.78
9,CENTERVILLE,16.67,48.74,30.43,0.0,33.33,66.06,40.0,61.34
10,TOTAL,44.83,55.91,44.0,66.67,40.74,68.4,39.54,64.31
