PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
88888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,28.57
COLW,0,57.69,56.67,0,33.33,100,0,0,0,0,60,100,0,0,0,0,70.79,67.22,0,50,0,68.07
FAIR,0,38.71,54.55,0,100,33.33,0,0,0,0,50,0,0,75,100,0,55.66,53.77,0,0,0,54.17
FLIN,0,54.17,33.33,0,50,50,0,50,0,0,54.55,11.11,0,33.33,0,0,56.38,59.64,0,33.33,0,56.88
HEMP,50,50,33.33,0,33.33,66.67,0,0,0,0,25,50,0,0,0,0,61.25,62,0,0,0,59.69
HOTH,0,43.33,46.43,100,0,100,0,0,0,0,0,33.33,0,0,0,0,61.31,62.57,0,0,100.00,60.87
MINE,100,41.82,48,0,66.67,0,0,66.67,75,0,100,57.14,0,100,0,0,61.92,62.86,0,100,0,61.36
MOBI,0,40.91,51.72,0,0,0,0,0,0,0,80,33.33,0,0,0,0,59.01,60.59,0,0,0,58.9
MORG,0,45.65,44.64,0,50,75,0,66.67,25,0,33.33,42.86,0,100,100,0,65.69,63.96,0,25,100.00,63.65
NOON,0,75.86,70.97,0,100,0,0,0,0,0,33.33,33.33,0,0,0,0,72.11,69.09,0,0,100.00,70.2
SKEN,0,25,40,0,0,0,0,0,0,0,0,0,0,0,0,0,69.7,77.56,0,0,0,72.09
SUGC,0,41.79,52.46,0,66.67,100,0,100,100,0,66.67,40,0,62.5,100,75,62.71,62.54,0,0,0,61.73
TOCC,0,50.57,45.63,0,71.43,28.57,0,40,0,0,66.67,43.75,0,66.67,25,50,56.9,59.19,0,40,0,57.12
TOTAL,40.0,48.34,47.39,100.0,59.26,54.55,0,44.44,37.5,0,58.49,37.29,0,56.76,38.46,50.0,60.95,61.88,0,31.58,28.57,60.4
