PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
CAIRO 4TH DISTR,0.0,21.0,27.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,1.0,0.0,153.0,117.0,1.0,600.0,329.0,1261.0
CAIRO 5TH DISTR,0.0,34.0,22.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,2.0,4.0,0.0,480.0,381.0,2.0,292.0,124.0,1356.0
DUNCANVILLE,0.0,9.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,97.0,110.0,0.0,47.0,35.0,309.0
HIGDON,0.0,9.0,14.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,179.0,167.0,0.0,59.0,40.0,475.0
LIMESINK,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,71.0,0.0,18.0,4.0,184.0
MIDWAY,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,344.0,302.0,0.0,61.0,41.0,780.0
PINE PARK,1.0,8.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,173.0,174.0,0.0,90.0,44.0,505.0
RAGAN,0.0,4.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,110.0,0.0,33.0,23.0,308.0
SPENCE,0.0,5.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,207.0,185.0,0.0,9.0,2.0,418.0
SPRING HILL,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,175.0,161.0,0.0,7.0,8.0,356.0
WHIGHAM,0.0,13.0,8.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,256.0,252.0,0.0,64.0,34.0,638.0
WOODLAND,0.0,26.0,14.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,639.0,562.0,0.0,45.0,37.0,1337.0
TOTAL,1.0,148.0,131.0,0.0,19.0,9.0,0.0,5.0,2.0,0.0,21.0,16.0,0.0,8.0,7.0,1.0,2918.0,2592.0,3.0,1325.0,721.0,7927.0
