PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
B,0.0,34.57,33.33,0.0,50.0,61.85,39.58,56.81
C04,25.0,51.5,44.44,0.0,40.0,57.69,27.59,50.83
C05,24.0,50.0,10.29,50.0,30.43,61.41,37.33,54.11
CUBA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,0.0,75.23,25.0,0.0,100.0,64.29,58.06,66.17
H,0.0,52.11,42.86,100.0,50.0,61.57,48.94,58.5
L,0.0,45.83,0.0,0.0,0.0,66.38,42.86,61.74
M,50.0,53.97,16.67,0.0,0.0,61.64,40.0,58.47
P,50.0,52.96,18.75,100.0,0.0,57.9,22.86,53.27
R,0.0,53.85,0.0,0.0,66.67,68.57,52.63,63.9
S,33.33,40.74,0.0,0.0,33.33,62.52,30.0,58.87
SH,100.0,34.88,25.0,0.0,0.0,72.73,22.22,67.94
W,28.57,42.61,30.0,33.33,25.0,59.69,28.38,53.39
WL,33.33,51.57,23.33,20.0,55.56,64.5,32.52,61.02
TOTAL,27.78,50.97,21.13,41.18,34.09,62.63,34.41,56.83
