PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
01,2.0,122.0,132.0,0.0,9.0,10.0,0.0,2.0,0.0,1.0,20.0,17.0,0.0,14.0,6.0,2.0,2666.0,2346.0,0.0,27.0,18.0,5394.0
02,0.0,75.0,60.0,0.0,5.0,3.0,0.0,1.0,1.0,0.0,44.0,37.0,0.0,16.0,14.0,2.0,1480.0,1340.0,0.0,78.0,37.0,3193.0
03,0.0,66.0,72.0,0.0,3.0,4.0,0.0,0.0,3.0,0.0,11.0,17.0,0.0,5.0,5.0,0.0,1344.0,1191.0,0.0,8.0,4.0,2733.0
04,0.0,6.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,6.0,0.0,2.0,2.0,0.0,181.0,165.0,0.0,11.0,6.0,392.0
05,0.0,10.0,10.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,16.0,18.0,0.0,7.0,3.0,0.0,199.0,166.0,0.0,7.0,8.0,447.0
06,0.0,54.0,49.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,32.0,21.0,0.0,6.0,6.0,1.0,1089.0,1052.0,0.0,13.0,15.0,2344.0
07,1.0,31.0,27.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,490.0,472.0,0.0,0.0,1.0,1031.0
88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOTAL,3.0,364.0,355.0,0.0,22.0,23.0,0.0,4.0,6.0,1.0,131.0,118.0,0.0,51.0,37.0,5.0,7449.0,6732.0,0.0,144.0,89.0,15534.0
