PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
02,3.0,204.0,234.0,0.0,16.0,13.0,0.0,4.0,3.0,0.0,19.0,17.0,0.0,23.0,23.0,3.0,2749.0,2451.0,1.0,240.0,184.0,6187.0
03,0.0,56.0,67.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,6.0,6.0,1.0,1030.0,903.0,0.0,48.0,40.0,2171.0
04,0.0,28.0,30.0,0.0,3.0,4.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,450.0,429.0,0.0,3.0,8.0,971.0
05,0.0,47.0,48.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,3.0,4.0,0.0,6.0,2.0,0.0,696.0,675.0,0.0,11.0,17.0,1516.0
06,0.0,16.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,336.0,317.0,0.0,0.0,3.0,697.0
07,0.0,7.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,127.0,126.0,0.0,0.0,0.0,266.0
08,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0,291.0,0.0,1.0,0.0,623.0
09,0.0,4.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,133.0,130.0,0.0,0.0,0.0,277.0
10,0.0,44.0,59.0,0.0,3.0,2.0,0.0,3.0,2.0,0.0,5.0,8.0,0.0,1.0,4.0,2.0,778.0,683.0,0.0,59.0,40.0,1693.0
11,0.0,21.0,23.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,288.0,248.0,0.0,1.0,3.0,590.0
12,0.0,80.0,99.0,0.0,6.0,6.0,0.0,1.0,1.0,0.0,5.0,4.0,0.0,6.0,4.0,2.0,1413.0,1186.0,0.0,52.0,40.0,2905.0
13,0.0,30.0,48.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,549.0,458.0,0.0,5.0,12.0,1110.0
TOTAL,3.0,552.0,656.0,0.0,37.0,34.0,0.0,13.0,9.0,0.0,40.0,41.0,0.0,48.0,46.0,12.0,8850.0,7897.0,1.0,420.0,347.0,19006.0
