AGE GROUP,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
25-29,672.0,0.0,22.0,15.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,8.0,4.0,0.0,1.0,0.0,0.0,277.0,239.0,0.0,69.0,32.0
30-34,854.0,1.0,33.0,28.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,9.0,5.0,0.0,1.0,5.0,0.0,348.0,310.0,0.0,70.0,37.0
35-39,1047.0,0.0,45.0,28.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,5.0,1.0,1.0,456.0,362.0,0.0,75.0,53.0
40-44,1195.0,1.0,43.0,34.0,0.0,6.0,5.0,0.0,2.0,0.0,0.0,11.0,9.0,0.0,4.0,1.0,0.0,464.0,458.0,1.0,92.0,64.0
45-49,1623.0,0.0,52.0,54.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0,10.0,7.0,0.0,10.0,5.0,0.0,624.0,612.0,0.0,130.0,110.0
50-54,1761.0,0.0,47.0,44.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,5.0,6.0,1.0,4.0,2.0,0.0,712.0,640.0,0.0,165.0,128.0
55-59,1833.0,0.0,33.0,40.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,11.0,3.0,0.0,702.0,716.0,0.0,170.0,135.0
60-64,1772.0,1.0,26.0,29.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,9.0,10.0,0.0,3.0,6.0,0.0,733.0,654.0,0.0,161.0,128.0
65-OVER,4342.0,0.0,76.0,52.0,0.0,7.0,7.0,0.0,0.0,3.0,0.0,11.0,15.0,0.0,9.0,4.0,1.0,1759.0,1816.0,0.0,337.0,245.0
TOTAL,15099.0,3.0,377.0,324.0,0.0,34.0,40.0,0.0,4.0,6.0,0.0,80.0,69.0,1.0,48.0,27.0,2.0,6075.0,5807.0,1.0,1269.0,932.0
