PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
12A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.000,0.00,1.000
25,2.000,336.0,310.0,0.00,98.00,74.00,0.00,1.000,5.000,1.000,102.0,90.00,0.00,37.00,35.00,3.000,1131.0,1046.0,0.00,1626.0,1196.0,6093.0
26,0.00,128.0,145.0,0.00,34.00,25.00,0.00,1.000,1.000,0.00,35.00,29.00,0.00,10.00,8.000,3.000,1332.0,1272.0,0.00,122.0,106.0,3251.0
27,2.000,200.0,195.0,0.00,29.00,42.00,0.00,1.000,4.000,0.00,62.00,45.00,0.00,23.00,14.00,1.000,1795.0,1648.0,0.00,310.0,270.0,4641.0
28,0.00,448.0,356.0,0.00,126.0,101.0,0.00,3.000,2.000,1.000,174.0,131.0,0.00,34.00,21.00,1.000,679.0,552.0,4.000,2770.0,1815.0,7218.0
29,4.000,516.0,426.0,1.000,165.0,136.0,0.00,1.000,6.000,0.00,191.0,168.0,0.00,88.00,81.00,1.000,1625.0,1496.0,4.000,2490.0,1902.0,9301.0
295,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.000,0.00,0.00,0.00,1.000
30,2.000,268.0,232.0,0.00,66.00,59.00,0.00,4.000,1.000,0.00,70.00,73.00,0.00,24.00,19.00,2.000,1327.0,1209.0,0.00,1155.0,846.0,5357.0
31,3.000,341.0,300.0,0.00,87.00,80.00,0.00,6.000,4.000,0.00,124.0,85.00,0.00,31.00,18.00,1.000,1511.0,1313.0,2.000,1752.0,1270.0,6928.0
32,3.000,271.0,277.0,1.000,115.0,73.00,0.00,2.000,3.000,0.00,70.00,57.00,0.00,107.0,100.0,1.000,491.0,467.0,1.000,1622.0,1252.0,4913.0
33,8.000,311.0,280.0,0.00,113.0,97.00,0.00,6.000,1.000,0.00,96.00,81.00,1.000,237.0,216.0,0.00,351.0,324.0,0.00,2060.0,1462.0,5644.0
34,3.000,297.0,278.0,1.000,103.0,83.00,0.00,2.000,1.000,0.00,103.0,92.00,0.00,47.00,54.00,0.00,734.0,605.0,1.000,1734.0,1270.0,5408.0
35,0.00,139.0,105.0,0.00,43.00,26.00,0.00,1.000,1.000,0.00,32.00,27.00,0.00,10.00,6.000,1.000,377.0,307.0,0.00,736.0,508.0,2319.0
