PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
100,0.0,6.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,1.0,172.0,164.0,0.0,222.0,125.0,702.0
201,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,214.0,192.0,0.0,13.0,9.0,440.0
202,0.0,5.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,425.0,387.0,0.0,1.0,2.0,832.0
301,0.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,1.0,0.0,0.0,158.0,135.0,0.0,28.0,29.0,368.0
302,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,227.0,198.0,0.0,1.0,0.0,436.0
401,0.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,1.0,1.0,1.0,232.0,202.0,0.0,46.0,28.0,531.0
402,0.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,200.0,169.0,0.0,4.0,8.0,396.0
501,0.0,5.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,1.0,1.0,406.0,318.0,0.0,47.0,22.0,819.0
502,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,124.0,120.0,0.0,34.0,20.0,304.0
TOTAL,0.0,40.0,38.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,36.0,13.0,0.0,3.0,3.0,3.0,2158.0,1885.0,0.0,396.0,243.0,4828.0
