PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
001,00000,35.05,32.38,00000,64000,59.26,00000,16.67,33.33,00000,33.33,26.47,00000,47.06,31.25,10000,58.07,61.90,00000,59.55,44.36,57.36
002,66.67,24.77,31.42,00000,37.84,28.12,00000,30000,30.77,00000,29.82,29.53,00000,41.18,25.58,14.29,46.43,48.48,00000,57.34,44.19,46.34
003,21.43,25.28,19.32,00000,39.94,26.88,00000,29.63,25.81,00000,29.54,21.70,00000,34.45,30.77,33.33,53.93,52.91,00000,45.49,32.12,44.74
004,00000,31.58,28.57,00000,57.14,45.45,00000,00000,10000,00000,16.67,30000,00000,00000,00000,10000,67.26,63.40,00000,70.92,55.13,62.79
005,50000,35.91,35.12,00000,48.42,45.21,00000,31.25,8.330,00000,40.38,41.67,00000,29.41,39.73,50000,58.22,59.84,00000,53.22,41.03,54.49
006,00000,29.41,14.77,00000,44.44,13.64,00000,00000,00000,00000,25.64,17.39,00000,10000,00000,00000,34.30,41.33,00000,48.27,33.53,40.41
007,00000,31.87,29.25,00000,32000,42.11,00000,28.57,50000,00000,38.46,26.53,00000,50000,42.86,00000,49.73,54.01,00000,53.71,43.33,49.55
008,00000,22.37,33.71,00000,41.67,47.37,00000,00000,75000,00000,46.43,34.48,00000,53.85,66.67,00000,60.68,59.25,00000,69.65,47.88,58.16
009,10000,30.95,29.79,00000,34.78,53.85,00000,00000,66.67,00000,43.75,25000,00000,61.54,62.50,00000,59.15,58.73,00000,45.42,36.65,54.87
88888,00000,00000,00000,00000,10000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,50000
99999,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
TOTAL,30.00,27.96,26.67,0.00,41.45,32.95,00000,27.50,30.26,00000,32.57,27.79,0.00,37.95,32.56,33.33,54.32,55.25,0.00,49.44,36.36,48.76
