-,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
25-29,5.0,220.0,215.0,0.0,103.0,106.0,0.0,12.0,10.0,0.0,148.0,125.0,1.0,45.0,43.0,8.0,2167.0,1876.0,2.0,1915.0,1418.0,8419.0
30-34,2.0,204.0,205.0,0.0,90.0,90.0,0.0,7.0,11.0,0.0,102.0,83.0,0.0,54.0,37.0,0.0,2080.0,1874.0,1.0,1655.0,1166.0,7661.0
35-39,0.0,139.0,148.0,0.0,86.0,57.0,0.0,9.0,7.0,0.0,95.0,63.0,0.0,38.0,32.0,1.0,1871.0,1660.0,1.0,1363.0,933.0,6503.0
40-44,0.0,93.0,132.0,0.0,51.0,37.0,0.0,3.0,8.0,0.0,86.0,52.0,0.0,45.0,32.0,2.0,1626.0,1445.0,0.0,1218.0,783.0,5613.0
45-49,1.0,116.0,117.0,0.0,50.0,37.0,0.0,3.0,4.0,0.0,50.0,40.0,0.0,43.0,33.0,1.0,1781.0,1562.0,0.0,1085.0,795.0,5718.0
50-54,1.0,107.0,144.0,0.0,46.0,37.0,0.0,9.0,6.0,0.0,54.0,48.0,0.0,36.0,29.0,0.0,1710.0,1634.0,0.0,1084.0,717.0,5662.0
55-59,1.0,106.0,128.0,0.0,33.0,33.0,0.0,3.0,5.0,0.0,43.0,37.0,0.0,31.0,23.0,0.0,1817.0,1650.0,0.0,1150.0,842.0,5902.0
60-64,0.0,74.0,83.0,0.0,32.0,29.0,0.0,7.0,5.0,0.0,35.0,36.0,0.0,41.0,18.0,0.0,1649.0,1544.0,0.0,920.0,763.0,5236.0
65-OVER,12.0,208.0,194.0,1.0,55.0,40.0,0.0,10.0,7.0,0.0,48.0,57.0,0.0,72.0,42.0,1.0,4882.0,4016.0,0.0,2067.0,1401.0,13113.0
TOTAL,22.0,1267.0,1366.0,1.0,546.0,466.0,0.0,63.0,63.0,0.0,661.0,541.0,1.0,405.0,289.0,13.0,19583.0,17261.0,4.0,12457.0,8818.0,63827.0
