AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,2.0,138.0,170.0,0.0,9.0,3.0,0.0,1.0,1.0,1.0,10.0,3.0,0.0,3.0,1.0,0.0,302.0,321.0,0.0,295.0,242.0,1502.0
25-29,0.0,49.0,50.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,12.0,6.0,0.0,4.0,4.0,0.0,321.0,284.0,0.0,349.0,224.0,1308.0
30-34,2.0,26.0,51.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,2.0,1.0,0.0,294.0,247.0,0.0,342.0,215.0,1191.0
35-39,0.0,33.0,34.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0,0.0,4.0,2.0,1.0,295.0,235.0,0.0,278.0,185.0,1087.0
40-44,0.0,20.0,36.0,0.0,4.0,4.0,0.0,2.0,1.0,0.0,4.0,5.0,0.0,1.0,1.0,1.0,279.0,234.0,1.0,256.0,156.0,1005.0
45-49,0.0,31.0,33.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,2.0,0.0,371.0,337.0,0.0,248.0,172.0,1207.0
50-54,0.0,23.0,34.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,344.0,355.0,0.0,269.0,205.0,1240.0
55-59,0.0,30.0,30.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,442.0,380.0,0.0,289.0,219.0,1400.0
60-64,0.0,26.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,434.0,375.0,0.0,267.0,182.0,1307.0
65-OVER,1.0,54.0,47.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,7.0,4.0,0.0,3.0,4.0,0.0,1260.0,1015.0,0.0,609.0,348.0,3356.0
TOTAL,5.0,430.0,503.0,0.0,26.0,14.0,0.0,8.0,3.0,1.0,60.0,32.0,0.0,24.0,19.0,2.0,4342.0,3783.0,1.0,3202.0,2148.0,14603.0
