PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
88888,0.0,15.79,0.0,0.0,0.0,17.65,50.0,16.28
99999,0.0,0.0,33.33,0.0,0.0,16.67,0.0,14.29
B1,50.0,63.94,42.86,25.0,69.23,68.45,37.74,65.15
B2,39.58,66.92,48.44,50.0,40.91,63.73,35.51,61.75
C1,83.33,59.26,40.68,0.0,25.0,69.11,42.86,65.26
F1,28.57,53.72,31.75,0.0,38.46,63.62,32.79,55.25
F2,66.67,52.87,40.52,100.0,27.27,60.19,33.63,53.54
F3,50.0,46.38,25.0,100.0,40.0,63.34,24.17,47.02
P1,53.85,63.76,33.33,100.0,60.0,66.49,46.6,64.01
TOTAL,45.56,53.76,38.01,50.0,42.73,65.01,35.39,57.61
