-,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
25-29,0.0,109.0,137.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,12.0,10.0,0.0,3.0,2.0,0.0,689.0,655.0,0.0,9.0,9.0,1647.0
30-34,0.0,56.0,98.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,11.0,3.0,0.0,1.0,4.0,0.0,718.0,637.0,0.0,6.0,11.0,1552.0
35-39,0.0,52.0,62.0,0.0,4.0,5.0,0.0,1.0,1.0,0.0,7.0,6.0,0.0,7.0,2.0,0.0,709.0,648.0,0.0,6.0,7.0,1517.0
40-44,0.0,46.0,47.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,9.0,8.0,0.0,7.0,5.0,0.0,785.0,597.0,0.0,8.0,10.0,1529.0
45-49,0.0,49.0,70.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,14.0,9.0,0.0,5.0,2.0,0.0,848.0,839.0,0.0,6.0,9.0,1861.0
50-54,0.0,57.0,68.0,0.0,5.0,4.0,0.0,1.0,3.0,0.0,9.0,8.0,0.0,3.0,4.0,0.0,892.0,853.0,0.0,6.0,8.0,1921.0
55-59,0.0,66.0,50.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,16.0,6.0,0.0,9.0,4.0,0.0,1001.0,906.0,0.0,8.0,5.0,2076.0
60-64,0.0,58.0,52.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,6.0,5.0,0.0,4.0,1.0,0.0,1053.0,932.0,0.0,10.0,5.0,2133.0
65-OVER,0.0,121.0,129.0,0.0,4.0,3.0,0.0,1.0,2.0,0.0,20.0,9.0,0.0,5.0,5.0,0.0,3135.0,2887.0,0.0,22.0,15.0,6358.0
TOTAL,0.0,614.0,713.0,0.0,36.0,27.0,0.0,10.0,9.0,0.0,104.0,64.0,0.0,44.0,29.0,0.0,9830.0,8954.0,0.0,81.0,79.0,20594.0
