PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
0001,0,37.5,31.03,0,44.44,75,0,100,0,0,28.57,40,0,33.33,0,0,60.26,64.06,0,49.84,46.22,56.83
0002,0,36.09,30.07,0,0,0,0,66.67,0,0,30.77,37.5,0,50,0,0,56.25,59.85,0,38.75,34.00,54.22
3A,0,37.93,35.29,0,33.33,40,0,0,100,0,40,0,100,33.33,33.33,0,62.24,67.21,0,35.71,35.71,61.21
3B,0,38.33,38.33,0,50,0,0,0,100,0,0,50,0,0,50,50,60.72,68.26,0,56.25,53.85,61.2
4A,0,45.71,39.29,0,0,100,0,0,0,0,60,0,0,50,0,0,64.11,68.78,0,49.41,40.35,61.4
4B,0,7.69,34.78,0,0,100,0,0,0,0,16.67,0,0,0,0,0,70.65,71.76,0,33.33,50.00,64.68
4C,0,35.9,32.56,0,0,0,0,0,100,0,25,25,0,33.33,100,0,63.3,67.05,0,40,33.33,60.91
4D,0,44.44,62.5,0,0,100,0,100,0,0,66.67,50,0,0,0,0,78.63,73.77,0,100,0,74.16
88888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,0.0,37.01,33.7,0,27.27,60.0,0.0,80.0,71.43,0,31.25,30.0,100.0,36.36,20.0,16.67,60.93,65.12,0.0,47.52,43.26,58.63
