PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
CONCORD,0.00,60.85,50.00,0.00,25.00,69.71,48.60,66.25
HOLLONVILLE,75.00,74.36,50.00,50.00,100.0,69.50,47.54,67.85
MEANSVILLE,50.00,69.62,0.00,0.00,50.00,71.71,47.00,69.24
MOLENA,0.00,63.76,40.00,66.67,16.67,67.24,47.71,64.92
SECOND DISTRICT,45.45,65.87,44.44,66.67,50.00,71.10,47.70,68.83
LIFSEY SPRINGS,60.00,61.54,83.33,0.00,33.33,69.83,45.88,67.14
WILLIAMSON,33.33,60.00,72.73,0.00,80.00,69.99,48.06,67.82
ZEBULON,57.14,61.58,40.00,0.00,46.67,66.23,45.70,63.65
88888,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TOTAL,46.15,63.14,52.46,58.33,49.18,69.41,47.29,66.92
