PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
99999,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BA,42.25,69.34,44.00,33.33,53.57,60.88,48.06,62.32
BT,50.00,63.67,48.31,33.33,47.50,61.27,42.49,59.26
CO,48.00,48.25,25.77,50.00,41.27,54.89,30.25,46.89
FI,38.67,59.14,46.15,50.00,44.44,61.01,43.92,56.94
FS,49.52,60.59,40.66,50.00,45.21,57.21,45.15,57.12
HC,33.33,62.70,48.98,60.00,60.00,64.67,45.63,61.32
HI,42.86,66.95,38.36,33.33,45.28,58.88,49.73,60.67
LA,70.00,66.67,25.76,0.00,37.04,56.52,39.02,53.68
LO,36.67,71.85,40.00,66.67,57.14,67.89,57.27,67.96
MA,52.38,60.33,43.53,33.33,40.62,60.44,48.01,58.20
MI,30.00,55.94,35.90,40.00,51.81,50.27,39.68,51.68
OT,37.50,49.52,29.92,18.18,38.46,44.98,35.41,46.17
RO,33.33,62.27,46.85,50.00,44.12,62.25,43.14,59.42
SM,53.62,66.76,37.14,25.00,44.44,61.92,46.00,62.18
SP,37.50,65.93,38.04,20.00,58.44,59.15,47.61,61.07
ST,56.82,64.84,38.57,12.50,48.00,67.29,50.46,63.34
TOTAL,44.48,60.67,37.36,36.59,47.08,60.27,43.82,57.66
