PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
SYLVANIA,50.37,59.45,0.00,55.50
HUNTERS,60.10,70.54,0.00,65.77
NEWINGTON,52.52,59.60,0.00,56.16
JENK HILL FIRE STA,55.39,64.22,0.00,60.04
ROCKY FORD,65.68,68.60,0.00,67.21
BAY BRANCH,63.81,63.91,100.0,63.90
HILTONIA,58.75,67.28,100.0,63.47
SCREVEN REC. DEPT.,58.15,62.44,0.00,60.37
GREENHILL CHURCH,59.76,60.45,0.00,60.05
SR CITIZENS CENTER,49.17,57.29,0.00,53.82
JACKSON FIRE STATION,61.66,62.77,0.00,62.20
FOY'S STORE,50.00,66.41,0.00,58.37
88888,0.00,0.00,0.00,0.00
TOTAL,56.32,62.47,50.00,59.61
