AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
25-29,2.0,107.0,131.0,0.0,5.0,7.0,0.0,6.0,3.0,0.0,24.0,13.0,0.0,8.0,8.0,1.0,668.0,588.0,1.0,563.0,366.0,2501.0
30-34,0.0,94.0,76.0,0.0,12.0,6.0,0.0,0.0,2.0,0.0,16.0,7.0,0.0,6.0,5.0,2.0,741.0,631.0,0.0,507.0,311.0,2416.0
35-39,0.0,89.0,93.0,0.0,15.0,8.0,0.0,2.0,1.0,0.0,14.0,10.0,0.0,4.0,6.0,2.0,706.0,655.0,2.0,484.0,307.0,2398.0
40-44,0.0,83.0,75.0,0.0,10.0,9.0,0.0,0.0,0.0,0.0,13.0,6.0,0.0,8.0,13.0,1.0,645.0,570.0,0.0,483.0,272.0,2188.0
45-49,1.0,69.0,75.0,0.0,6.0,5.0,0.0,1.0,1.0,0.0,7.0,8.0,0.0,11.0,4.0,1.0,769.0,673.0,0.0,469.0,305.0,2405.0
50-54,1.0,80.0,71.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,12.0,11.0,0.0,6.0,10.0,2.0,812.0,718.0,0.0,520.0,356.0,2604.0
55-59,2.0,91.0,91.0,0.0,8.0,2.0,0.0,2.0,1.0,0.0,8.0,8.0,0.0,5.0,5.0,2.0,860.0,762.0,0.0,558.0,382.0,2787.0
60-64,0.0,82.0,65.0,0.0,4.0,4.0,0.0,1.0,2.0,0.0,6.0,8.0,0.0,5.0,2.0,1.0,869.0,728.0,0.0,467.0,367.0,2611.0
65-OVER,1.0,191.0,151.0,0.0,8.0,6.0,0.0,3.0,0.0,0.0,13.0,7.0,0.0,11.0,12.0,2.0,2899.0,2238.0,0.0,1128.0,724.0,7394.0
TOTAL,7.0,886.0,828.0,0.0,70.0,50.0,0.0,15.0,10.0,0.0,113.0,78.0,0.0,64.0,65.0,14.0,8969.0,7563.0,3.0,5179.0,3390.0,27304.0
