PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
041,0.00,0.00,0.00,0.00
1663,63.90,64.54,33.33,64.21
1675,66.40,69.65,0.00,68.10
250,61.41,63.68,60.00,62.57
414,70.68,76.35,100.0,73.54
415,62.93,65.03,100.0,64.05
416,58.42,62.60,60.00,60.56
417,51.99,54.06,100.0,53.11
418,54.72,60.77,100.0,58.06
419,51.00,54.13,100.0,52.75
420,42.68,52.13,66.67,48.18
421,53.29,60.06,25.00,56.95
422,62.86,65.17,20.00,63.98
423,56.96,59.07,66.67,58.08
424,61.95,63.87,50.00,62.91
425,44.34,46.45,80.00,45.61
426,67.43,69.18,0.00,68.30
427,60.82,65.58,75.00,63.37
454,61.61,64.05,0.00,62.89
502,65.92,67.79,0.00,66.81
503,71.82,76.88,0.00,74.40
559,68.07,69.17,33.33,68.57
99999,0.00,0.00,0.00,0.00
TOTAL,58.09,60.94,56.60,59.60
