AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,25.68,32.27,34.10,30.00,40.45,44.13,27.47,37.75
25-29,18.03,30.41,28.07,40.00,35.48,42.56,26.57,36.79
30-34,31.15,41.96,38.95,25.00,48.15,50.40,40.17,46.89
35-39,23.81,50.50,35.92,25.00,55.10,58.86,43.16,54.25
40-44,54.00,56.03,53.66,46.15,58.70,64.38,48.02,60.17
45-49,39.47,64.82,45.95,44.44,45.83,69.01,51.40,65.15
50-54,51.43,62.93,43.55,40.00,50.00,71.79,51.11,66.94
55-59,39.39,63.45,55.77,100.0,66.67,73.23,45.09,67.66
60-64,48.28,68.52,50.00,50.00,66.67,77.86,54.34,73.44
65-OVER,38.89,68.83,62.03,66.67,64.00,77.05,56.92,73.80
TOTAL,34.86,53.60,42.03,41.94,50.51,65.39,42.84,59.60
