AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,8.0,256.0,251.0,0.0,18.0,18.0,0.0,2.0,1.0,0.0,37.0,22.0,0.0,8.0,11.0,6.0,986.0,864.0,2.0,213.0,149.0,2852.0
25-29,1.0,155.0,128.0,0.0,9.0,13.0,0.0,1.0,1.0,0.0,23.0,9.0,0.0,7.0,4.0,0.0,753.0,636.0,1.0,181.0,88.0,2010.0
30-34,0.0,187.0,146.0,0.0,15.0,11.0,0.0,0.0,1.0,0.0,22.0,15.0,0.0,8.0,11.0,0.0,891.0,760.0,0.0,259.0,96.0,2422.0
35-39,0.0,187.0,185.0,1.0,14.0,12.0,0.0,0.0,2.0,0.0,24.0,13.0,0.0,6.0,4.0,0.0,1140.0,892.0,0.0,286.0,119.0,2885.0
40-44,1.0,211.0,189.0,0.0,16.0,11.0,0.0,3.0,3.0,0.0,28.0,16.0,0.0,18.0,9.0,1.0,1231.0,1004.0,0.0,287.0,173.0,3201.0
45-49,1.0,245.0,214.0,0.0,11.0,11.0,0.0,2.0,2.0,0.0,15.0,19.0,0.0,7.0,8.0,0.0,1531.0,1351.0,0.0,385.0,212.0,4014.0
50-54,1.0,245.0,193.0,0.0,13.0,7.0,0.0,0.0,2.0,0.0,13.0,14.0,0.0,10.0,8.0,0.0,1558.0,1447.0,0.0,371.0,235.0,4117.0
55-59,0.0,187.0,176.0,0.0,9.0,13.0,0.0,1.0,2.0,0.0,15.0,14.0,0.0,6.0,7.0,0.0,1541.0,1495.0,0.0,299.0,220.0,3985.0
60-64,2.0,171.0,165.0,0.0,7.0,9.0,0.0,1.0,0.0,0.0,10.0,6.0,0.0,9.0,5.0,1.0,1512.0,1392.0,0.0,243.0,164.0,3697.0
65-OVER,1.0,415.0,398.0,0.0,20.0,12.0,0.0,0.0,2.0,0.0,23.0,26.0,0.0,8.0,6.0,3.0,4145.0,3673.0,0.0,538.0,312.0,9582.0
TOTAL,15.0,2259.0,2045.0,1.0,132.0,117.0,0.0,10.0,16.0,0.0,210.0,154.0,0.0,87.0,73.0,11.0,15288.0,13514.0,3.0,3062.0,1768.0,38765.0
