,PRECINCT NAME,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2A,41.03,44.63,41.28,42.86,35.14,62.16,33.71,55.84
1,3A,36.36,37.84,33.89,100.0,44.0,68.57,38.38,60.17
2,4A,32.2,52.46,50.76,37.5,57.58,67.65,44.7,61.69
3,5A,44.44,52.4,44.17,0.0,26.32,38.51,29.37,41.38
4,6A,0.0,48.17,39.83,0.0,35.0,42.01,27.6,39.4
5,AN,200.0,52.68,41.02,100.0,45.0,48.07,30.72,43.59
6,CA,0.0,36.84,46.43,50.0,33.33,53.79,33.88,50.66
7,CO,57.14,74.07,44.83,100.0,50.0,59.63,34.65,57.09
8,DG,56.67,53.85,47.86,60.0,55.56,63.27,37.3,58.08
9,ES,0.0,60.49,40.0,100.0,50.0,54.03,28.99,48.04
10,FI,62.5,67.86,45.65,0.0,30.0,57.64,36.7,54.34
11,GL,47.06,54.1,44.08,50.0,50.0,59.82,34.57,52.87
12,LT,0.0,25.0,37.5,66.67,50.0,67.89,37.93,63.61
13,MC,40.0,43.75,41.18,0.0,50.0,62.14,46.05,59.59
14,NI,0.0,52.38,33.33,0.0,50.0,62.44,40.51,57.77
15,PG,36.0,42.76,41.68,20.0,42.86,62.93,39.83,56.53
16,TH,52.38,60.24,38.17,0.0,53.85,57.76,34.5,54.46
17,TI,0.0,0.0,34.0,50.0,50.0,57.3,31.65,52.36
18,TR,25.0,45.45,35.29,0.0,40.0,68.36,52.88,66.16
19,UT,100.0,0.0,46.15,0.0,66.67,60.71,40.78,58.37
20,VA,39.53,61.48,45.45,33.33,45.95,63.24,39.73,59.52
21,WS,75.0,65.82,37.7,100.0,56.25,64.05,46.75,61.03
22,TOTAL,40.42,52.71,42.5,41.07,45.5,61.12,36.99,55.56
