PRECINCT NAME,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
102,4541.0,2.0,144.0,118.0,0.0,36.0,16.0,0.0,2.0,2.0,1.0,39.0,27.0,0.0,7.0,1.0,0.0,143.0,88.0,2.0,2373.0,1540.0
103,5240.0,3.0,145.0,132.0,0.0,32.0,26.0,0.0,0.0,0.0,0.0,39.0,31.0,0.0,16.0,7.0,1.0,219.0,160.0,1.0,2551.0,1877.0
104,2596.0,3.0,93.0,92.0,0.0,20.0,22.0,0.0,1.0,3.0,0.0,52.0,42.0,0.0,28.0,14.0,1.0,961.0,792.0,1.0,288.0,183.0
105,3345.0,0.0,119.0,108.0,0.0,27.0,26.0,0.0,1.0,2.0,0.0,51.0,43.0,0.0,31.0,20.0,1.0,1359.0,1048.0,2.0,294.0,213.0
106,6410.0,0.0,272.0,286.0,1.0,66.0,41.0,0.0,7.0,10.0,1.0,139.0,124.0,0.0,104.0,98.0,4.0,2238.0,1811.0,2.0,688.0,518.0
107,4409.0,2.0,178.0,159.0,0.0,42.0,27.0,0.0,4.0,4.0,0.0,72.0,47.0,0.0,20.0,8.0,2.0,1371.0,1084.0,1.0,831.0,557.0
108,6262.0,2.0,194.0,222.0,0.0,43.0,31.0,0.0,9.0,4.0,0.0,69.0,66.0,0.0,105.0,75.0,8.0,2511.0,2196.0,0.0,400.0,327.0
109,2805.0,0.0,76.0,77.0,0.0,19.0,14.0,0.0,1.0,4.0,0.0,16.0,19.0,0.0,53.0,48.0,0.0,1273.0,974.0,0.0,133.0,98.0
110,6160.0,3.0,190.0,183.0,0.0,45.0,35.0,0.0,3.0,2.0,0.0,61.0,61.0,0.0,13.0,3.0,0.0,217.0,174.0,4.0,3116.0,2050.0
112,10342.0,6.0,423.0,424.0,1.0,108.0,74.0,1.0,12.0,8.0,1.0,202.0,179.0,1.0,96.0,55.0,1.0,1062.0,831.0,3.0,3916.0,2938.0
113,5891.0,6.0,185.0,171.0,0.0,44.0,33.0,0.0,4.0,1.0,0.0,62.0,41.0,0.0,17.0,25.0,2.0,192.0,182.0,4.0,2869.0,2053.0
114,4387.0,1.0,142.0,125.0,0.0,34.0,24.0,0.0,3.0,1.0,0.0,51.0,29.0,0.0,9.0,7.0,0.0,189.0,187.0,1.0,2116.0,1468.0
115,6994.0,3.0,277.0,252.0,0.0,59.0,57.0,0.0,6.0,2.0,0.0,94.0,89.0,0.0,41.0,28.0,2.0,870.0,694.0,8.0,2752.0,1760.0
116,7339.0,1.0,227.0,250.0,1.0,68.0,54.0,0.0,2.0,2.0,0.0,90.0,92.0,0.0,43.0,23.0,0.0,567.0,482.0,1.0,3171.0,2265.0
117,5703.0,2.0,193.0,207.0,0.0,71.0,49.0,0.0,1.0,3.0,0.0,93.0,85.0,0.0,59.0,59.0,3.0,1737.0,1380.0,4.0,1031.0,726.0
118,5757.0,2.0,191.0,186.0,0.0,46.0,24.0,0.0,4.0,2.0,0.0,66.0,48.0,1.0,33.0,33.0,3.0,2201.0,1876.0,3.0,631.0,407.0
119,5441.0,0.0,204.0,200.0,0.0,39.0,35.0,0.0,5.0,4.0,0.0,115.0,82.0,0.0,44.0,40.0,3.0,2100.0,1589.0,0.0,581.0,400.0
120,7950.0,4.0,333.0,300.0,1.0,75.0,50.0,0.0,8.0,5.0,1.0,161.0,142.0,1.0,188.0,155.0,6.0,2563.0,2171.0,1.0,1025.0,760.0
121,3258.0,2.0,144.0,137.0,0.0,31.0,31.0,0.0,2.0,2.0,0.0,71.0,56.0,1.0,52.0,40.0,0.0,936.0,773.0,0.0,600.0,380.0
122,2054.0,2.0,81.0,80.0,0.0,19.0,16.0,0.0,3.0,3.0,0.0,18.0,31.0,0.0,10.0,8.0,1.0,371.0,400.0,0.0,563.0,448.0
124,4542.0,2.0,162.0,154.0,0.0,37.0,20.0,0.0,1.0,5.0,0.0,72.0,48.0,0.0,17.0,13.0,1.0,1588.0,1261.0,0.0,640.0,521.0
125,3181.0,3.0,119.0,115.0,1.0,22.0,28.0,0.0,4.0,5.0,0.0,35.0,23.0,0.0,10.0,7.0,1.0,553.0,519.0,1.0,982.0,753.0
126,3167.0,2.0,100.0,97.0,0.0,33.0,17.0,1.0,1.0,0.0,0.0,58.0,47.0,0.0,10.0,10.0,0.0,679.0,570.0,1.0,860.0,681.0
127,6985.0,7.0,253.0,251.0,1.0,64.0,33.0,0.0,5.0,4.0,1.0,113.0,116.0,1.0,89.0,61.0,3.0,2192.0,1911.0,3.0,1001.0,876.0
88888,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,16.0,4.0
99999,260.0,2.0,2.0,10.0,0.0,4.0,7.0,0.0,2.0,2.0,0.0,7.0,7.0,0.0,0.0,1.0,0.0,8.0,22.0,3.0,61.0,122.0
TOTAL,125053.0,60.0,4447.0,4336.0,6.0,1084.0,790.0,2.0,91.0,80.0,5.0,1847.0,1576.0,5.0,1095.0,839.0,43.0,28109.0,23178.0,46.0,33489.0,23925.0
