PRECINCT NAME,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
102,688.0,4.0,33.0,26.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,7.0,1.0,1.0,118.0,120.0,0.0,229.0,136.0
103,678.0,2.0,33.0,12.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,12.0,0.0,380.0,223.0
104,1413.0,3.0,57.0,34.0,0.0,6.0,3.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,41.0,47.0,4.0,817.0,395.0
105,375.0,0.0,9.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,7.0,5.0,0.0,10.0,9.0,0.0,209.0,111.0
106,425.0,1.0,22.0,15.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,65.0,63.0,0.0,185.0,70.0
107,1137.0,0.0,39.0,36.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,4.0,4.0,0.0,352.0,314.0,0.0,222.0,145.0
108,301.0,0.0,10.0,9.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,30.0,21.0,0.0,148.0,76.0
109,572.0,0.0,31.0,25.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,98.0,89.0,0.0,187.0,129.0
111,642.0,2.0,19.0,11.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,1.0,1.0,108.0,73.0,1.0,258.0,150.0
112,399.0,0.0,21.0,17.0,0.0,3.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,5.0,3.0,0.0,107.0,97.0,0.0,78.0,61.0
114,376.0,2.0,15.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,17.0,1.0,193.0,106.0
115,179.0,1.0,10.0,7.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,39.0,0.0,54.0,24.0
201,647.0,1.0,19.0,16.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,9.0,2.0,372.0,199.0
202,1941.0,2.0,79.0,59.0,0.0,9.0,3.0,0.0,0.0,1.0,0.0,10.0,6.0,0.0,6.0,2.0,1.0,304.0,276.0,7.0,806.0,370.0
203,476.0,0.0,18.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,269.0,175.0
204,856.0,3.0,38.0,36.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,7.0,4.0,3.0,318.0,264.0,0.0,92.0,75.0
207,1125.0,2.0,47.0,22.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,58.0,49.0,2.0,603.0,335.0
208,1225.0,2.0,58.0,42.0,0.0,10.0,6.0,0.0,1.0,0.0,0.0,6.0,6.0,0.0,2.0,0.0,2.0,130.0,86.0,1.0,590.0,283.0
210,839.0,2.0,30.0,25.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,13.0,2.0,0.0,6.0,5.0,0.0,67.0,62.0,1.0,412.0,204.0
301,1713.0,0.0,59.0,46.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,5.0,4.0,1.0,696.0,614.0,0.0,169.0,90.0
