AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,0.0,2.5,3.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85,0.0,0.0,0.0,0.0,8.33,9.57,0.0,3.45,1.69,6.36
25-29,0.0,3.03,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.78,6.43,0.0,5.98,1.08,6.26
30-34,0.0,0.0,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,16.26,15.86,0.0,12.87,3.23,13.5
35-39,0.0,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.92,16.73,0.0,7.84,4.41,12.19
40-44,0.0,3.7,9.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.31,21.98,0.0,15.15,6.67,16.79
45-49,0.0,6.67,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,19.35,25.55,0.0,23.96,18.39,20.96
50-54,0.0,6.45,2.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,25.0,40.0,0.0,21.89,19.2,0.0,30.43,15.49,19.98
55-59,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,33.33,0.0,0.0,31.25,32.29,0.0,28.41,14.14,28.08
60-64,0.0,25.0,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,31.21,38.08,0.0,29.17,31.34,32.63
65-OVER,0.0,7.14,17.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,20.0,0.0,50.0,0.0,0.0,35.99,44.36,0.0,38.72,35.0,38.43
TOTAL,0.0,5.45,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35,3.57,0.0,15.38,9.09,0.0,23.59,27.18,0.0,21.65,14.69,22.32
