PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
ANDERSON,0.00,10.53,0.00,0.00,0.00,20.51,9.47,19.16
BALDWIN,0.00,0.00,0.00,0.00,25.00,25.60,8.62,23.04
BERLIN,14.29,83.33,0.00,0.00,0.00,35.56,11.76,34.28
BUSHVILLE,11.11,4.76,5.26,0.00,0.00,29.27,6.25,25.32
COLUMBIA,0.00,0.00,0.00,0.00,0.00,32.79,15.38,31.58
DAVIDS,0.00,11.69,0.00,0.00,40.00,21.43,6.80,18.99
GOLDEN HILL,0.00,0.00,12.50,0.00,0.00,25.07,7.02,22.91
GROVE RIVER,0.00,0.00,0.00,0.00,0.00,32.82,8.70,29.79
HOLLINGSWORTH,0.00,0.00,0.00,0.00,0.00,27.73,10.87,25.75
HOMER,0.00,11.11,0.00,0.00,0.00,29.19,6.48,26.38
POPLAR SPRINGS,22.22,4.76,0.00,0.00,0.00,26.36,6.15,23.92
WASHINGTON,0.00,0.00,0.00,0.00,0.00,32.15,5.13,29.42
WILMONTS,0.00,28.57,29.41,0.00,0.00,29.35,5.88,27.54
88888,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TOTAL,4.65,10.80,5.23,0.00,11.11,26.70,7.49,24.28
