PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
ADAIRSVILLE,9.68,8.40,7.14,0.00,5.26,10.30,3.68,9.52
ALLATOONA,2.56,5.83,2.74,0.00,5.56,11.38,5.15,9.70
CARTERSVILLE EAST,0.00,8.13,3.70,0.00,8.33,14.64,3.96,11.57
CARTERSVILLE WEST,7.14,11.40,2.35,0.00,1.85,20.40,8.55,16.96
CASSVILLE,3.77,12.56,5.94,33.33,6.33,13.35,4.88,11.91
CENTER,6.45,7.98,13.64,0.00,12.50,17.30,5.34,15.09
EMERSON,0.00,12.04,2.86,0.00,16.67,17.46,6.72,15.42
EUHARLEE,10.00,17.00,4.71,0.00,13.79,12.90,5.07,12.11
FOLSOM,50.00,100.0,0.00,0.00,16.67,16.23,6.03,15.19
KINGSTON,25.00,13.97,4.17,0.00,0.00,14.43,9.49,13.67
MISSION ROAD,0.00,15.61,9.86,25.00,7.41,17.21,6.67,15.60
PINE LOG,0.00,0.00,0.00,0.00,7.69,17.78,6.08,16.40
TAYLORSVILLE,0.00,16.22,5.71,100.0,0.00,16.16,5.39,14.94
WHITE,0.00,25.00,3.23,0.00,11.76,18.63,11.29,17.72
ZENA DRIVE,5.66,6.81,2.12,14.29,2.08,11.25,3.72,8.85
WOODLAND,0.00,14.47,0.00,0.00,0.00,15.45,4.61,13.44
88888,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
99999,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TOTAL,4.47,10.58,4.35,7.25,6.79,14.81,5.58,12.94
