AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,2.33,1.47,4.29,7.14,1.90,4.58,2.21,3.63
25-29,5.56,1.76,3.45,0.00,2.67,3.14,1.87,2.79
30-34,0.00,2.72,2.61,0.00,11.76,5.10,2.71,4.48
35-39,3.12,6.84,4.73,11.11,11.90,7.86,4.50,7.25
40-44,6.45,6.92,1.59,0.00,5.56,9.18,5.73,8.32
45-49,6.06,11.66,5.56,0.00,12.90,11.49,4.87,10.68
50-54,10.81,13.71,5.00,16.67,6.06,15.18,7.18,13.99
55-59,3.45,16.29,5.15,0.00,0.00,18.43,9.35,17.07
60-64,3.85,21.53,7.94,0.00,19.23,21.92,11.09,20.73
65-OVER,3.85,25.16,7.14,33.33,12.50,29.57,15.29,27.95
TOTAL,4.47,10.58,4.35,7.25,6.79,14.81,5.58,12.94
