AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,0.0,41.0,31.0,0.0,6.0,2.0,0.0,1.0,2.0,0.0,23.0,12.0,0.0,5.0,2.0,0.0,251.0,232.0,0.0,222.0,168.0,998.0
25-29,0.0,8.0,21.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,5.0,1.0,1.0,204.0,189.0,0.0,215.0,157.0,813.0
30-34,0.0,13.0,14.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,13.0,4.0,0.0,1.0,2.0,0.0,217.0,186.0,0.0,189.0,111.0,755.0
35-39,0.0,14.0,12.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,0.0,3.0,3.0,0.0,242.0,195.0,0.0,182.0,81.0,749.0
40-44,1.0,12.0,15.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,3.0,1.0,0.0,198.0,186.0,0.0,157.0,75.0,656.0
45-49,0.0,12.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,2.0,0.0,0.0,232.0,224.0,0.0,171.0,84.0,748.0
50-54,0.0,12.0,8.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,1.0,1.0,0.0,241.0,223.0,0.0,156.0,108.0,760.0
55-59,0.0,9.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,1.0,4.0,0.0,269.0,230.0,0.0,190.0,117.0,841.0
60-64,0.0,6.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,3.0,0.0,283.0,244.0,0.0,185.0,128.0,868.0
65-OVER,1.0,25.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,1.0,2.0,1.0,896.0,744.0,0.0,367.0,231.0,2303.0
TOTAL,2.0,152.0,155.0,0.0,18.0,11.0,0.0,3.0,2.0,0.0,70.0,51.0,0.0,26.0,19.0,2.0,3033.0,2653.0,0.0,2034.0,1260.0,9491.0
