AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,0.0,2.94,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0,3.92,5.94,0.0,2.68,0.5,3.16
25-29,0.0,5.71,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.18,10.71,0.0,1.72,1.1,5.0
30-34,0.0,7.14,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,14.16,21.54,0.0,5.29,1.36,10.74
35-39,0.0,6.67,12.9,0.0,33.33,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,100.0,0.0,0.0,14.95,17.82,0.0,4.08,4.35,11.39
40-44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7,19.54,0.0,9.15,5.38,11.42
45-49,0.0,8.0,10.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,11.11,0.0,0.0,0.0,0.0,14.55,18.83,0.0,13.41,7.2,14.05
50-54,0.0,17.39,5.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.55,19.75,0.0,13.76,7.3,15.79
55-59,0.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,100.0,0.0,25.0,30.55,0.0,20.86,14.29,23.36
60-64,0.0,15.15,12.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,31.97,32.5,0.0,24.07,20.83,27.41
65-OVER,0.0,20.41,18.03,0.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,32.53,37.66,0.0,24.57,20.89,30.51
TOTAL,0.0,11.11,9.38,0.0,4.35,14.81,0.0,0.0,0.0,0.0,6.94,3.17,0.0,15.0,9.09,0.0,21.94,25.21,0.0,13.26,9.07,17.98
