PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
1-01C,25.00,11.04,10.71,0.00,17.39,4.550,0.00,0.00,0.00,0.00,8.330,9.380,0.00,31.25,0.00,0.00,28.14,27.01,0.00,18.31,23.21,25.28
1-05C,20.00,8.430,12.36,0.00,11.11,0.00,0.00,0.00,0.00,0.00,11.54,7.690,0.00,8.330,22.22,0.00,19.91,23.21,0.00,30.53,23.71,20.59
1-06C,0.00,16.67,13.70,0.00,0.00,25.00,0.00,0.00,0.00,0.00,22.22,10.00,0.00,11.11,0.00,0.00,26.58,23.76,0.00,31.87,23.08,24.31
1-08C,0.00,10.45,3.450,0.00,20.00,9.090,0.00,0.00,0.00,0.00,0.00,22.22,0.00,6.250,0.00,0.00,20.78,22.22,0.00,17.73,12.04,18.78
1-09C,0.00,7.320,5.560,0.00,0.00,14.29,0.00,0.00,0.00,0.00,8.330,0.00,0.00,9.090,12.50,0.00,13.07,11.18,0.00,13.24,12.23,11.49
1-10C,0.00,19.23,8.700,0.00,50.00,20.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,25.00,0.00,26.08,28.54,0.00,33.33,33.33,26.51
1-12C,0.00,7.550,16.28,0.00,16.67,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,20.00,50.00,24.08,27.44,0.00,33.33,43.75,24.97
1-13C,0.00,10.42,10.91,0.00,27.27,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,8.330,22.22,0.00,19.92,19.57,0.00,20.77,14.55,18.37
1-14C,0.00,12.73,6.250,0.00,20.00,0.00,0.00,0.00,0.00,0.00,9.090,0.00,0.00,0.00,9.090,0.00,22.30,22.28,0.00,28.93,18.10,21.13
1-16C,25.00,9.570,7.690,0.00,18.18,20.00,0.00,25.00,100.0,0.00,0.00,15.00,0.00,14.29,37.50,0.00,23.11,23.35,0.00,24.24,11.94,21.59
1-17C,0.00,7.140,7.870,0.00,19.05,0.00,0.00,0.00,0.00,0.00,0.00,13.33,0.00,3.850,0.00,0.00,18.43,18.07,0.00,32.43,20.83,17.44
2-02C,0.00,13.43,6.170,0.00,5.000,11.76,0.00,25.00,0.00,0.00,5.260,0.00,0.00,14.29,0.00,0.00,14.71,15.70,0.00,11.83,6.740,11.78
2-03C,0.00,9.430,2.740,0.00,8.330,0.00,0.00,33.33,0.00,0.00,11.76,9.090,0.00,20.00,0.00,0.00,13.13,10.21,0.00,18.02,10.23,12.16
2-04C,0.00,8.330,3.450,0.00,9.090,0.00,0.00,20.00,0.00,0.00,0.00,11.11,0.00,0.00,20.00,0.00,11.86,12.24,0.00,21.45,12.19,15.24
2-05C,0.00,15.58,1.000,0.00,21.05,19.05,0.00,0.00,0.00,0.00,6.670,0.00,0.00,50.00,0.00,0.00,21.05,17.78,0.00,24.79,14.31,18.24
2-06C,0.00,2.630,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,10.53,10.53,0.00,11.19,5.120,8.220
2-07C,0.00,9.880,5.000,0.00,15.38,12.50,0.00,33.33,0.00,0.00,16.67,18.18,0.00,0.00,0.00,0.00,23.32,21.81,0.00,17.25,10.16,16.07
2-09C,0.00,7.550,6.360,0.00,17.24,4.760,0.00,0.00,0.00,0.00,4.350,4.550,0.00,11.11,0.00,0.00,19.30,19.41,14.29,19.53,12.05,16.14
2-11C,0.00,9.680,8.110,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,15.57,15.49,0.00,14.56,8.660,12.32
2-12C,0.00,14.29,7.000,0.00,15.00,0.00,0.00,0.00,0.00,0.00,11.54,6.900,0.00,10.00,0.00,0.00,14.94,15.14,0.00,23.57,13.50,15.29
