AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,2.610,0.00,0.00,0.00,0.00,0.740,0.720
25-29,0.00,2.780,0.00,0.00,0.00,0.660,0.00,0.940
30-34,0.00,1.020,0.00,0.00,0.00,0.00,1.410,0.410
35-39,0.00,4.810,0.00,0.00,0.00,1.800,0.00,2.200
40-44,0.00,6.250,0.00,0.00,0.00,3.020,2.940,3.480
45-49,0.00,10.11,0.00,0.00,0.00,4.730,3.450,5.960
50-54,0.00,13.58,0.00,100.0,0.00,4.570,0.00,6.730
55-59,0.00,20.27,0.00,0.00,0.00,3.650,0.00,9.010
60-64,0.00,16.95,0.00,0.00,0.00,7.530,0.00,9.380
65-OVER,0.00,29.25,0.00,0.00,0.00,14.12,16.67,18.11
TOTAL,0.00,9.890,0.00,20.00,0.00,3.760,1.270,4.680
