PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
KIOKEE BAPT CHURCH,1.00,6.00,11.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,304.0,295.0,0.00,15.00,18.00,655.0
LEWIS METHODIST,0.00,16.00,23.00,0.00,3.00,2.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,6.00,1.00,0.00,219.0,186.0,0.00,58.00,33.00,553.0
WOODLAWN BAPT,0.00,10.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,119.0,128.0,0.00,16.00,12.00,295.0
PATRIOTS PARK,0.00,27.00,29.00,0.00,3.00,3.00,0.00,0.00,1.00,0.00,8.00,9.00,0.00,3.00,2.00,0.00,233.0,254.0,0.00,68.00,52.00,692.0
NEW LIFE CHURCH,0.00,20.00,19.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,5.00,4.00,0.00,1.00,0.00,0.00,125.0,144.0,0.00,59.00,63.00,442.0
HARLEM BRANCH,0.00,5.00,11.00,0.00,3.00,0.00,0.00,0.00,1.00,0.00,1.00,3.00,0.00,3.00,1.00,1.00,260.0,261.0,0.00,81.00,44.00,675.0
BESSIE THOMAS CENTER,0.00,4.00,3.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,160.0,171.0,0.00,13.00,7.00,365.0
PHILADELPHIA CHURCH,0.00,8.00,3.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,2.00,0.00,0.00,96.00,104.0,0.00,45.00,28.00,292.0
LIBERTY PARK -,0.00,11.00,11.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,5.00,2.00,0.00,4.00,1.00,0.00,105.0,99.00,0.00,78.00,57.00,374.0
GROVETOWN METHODIST,0.00,10.00,11.00,0.00,3.00,3.00,0.00,0.00,0.00,0.00,1.00,3.00,0.00,1.00,1.00,0.00,85.00,78.00,0.00,61.00,44.00,301.0
G A APOSTOLIC CHURCH,0.00,6.00,11.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,5.00,0.00,2.00,0.00,0.00,129.0,132.0,0.00,39.00,37.00,365.0
GROVETOWN MIDDLE,1.00,18.00,10.00,0.00,5.00,2.00,0.00,0.00,1.00,0.00,5.00,4.00,0.00,3.00,1.00,0.00,92.00,90.00,0.00,53.00,48.00,333.0
WARREN BAPTIST,0.00,17.00,18.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,1.00,5.00,0.00,3.00,1.00,0.00,82.00,90.00,0.00,83.00,45.00,348.0
EUBANK/BLANCHARD CTR,0.00,9.00,4.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,132.0,149.0,0.00,24.00,11.00,330.0
SECOND MT. CARMEL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,44.00,0.00,54.00,24.00,152.0
DAMASCUS BAPT,0.00,3.00,4.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,114.0,121.0,0.00,6.00,2.00,254.0
COL CTY BOARD OF EDU,0.00,9.00,9.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,1.00,4.00,0.00,4.00,3.00,0.00,182.0,189.0,0.00,35.00,26.00,465.0
GREENBRIER HIGH,0.00,20.00,21.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,3.00,2.00,0.00,217.0,220.0,0.00,19.00,15.00,521.0
REDEEMER CHURCH,0.00,25.00,30.00,0.00,3.00,2.00,0.00,0.00,0.00,0.00,6.00,2.00,0.00,4.00,4.00,0.00,273.0,303.0,0.00,90.00,69.00,811.0
RIVERSIDE ELEMENTARY,0.00,4.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,3.00,0.00,0.00,1.00,0.00,134.0,165.0,0.00,24.00,19.00,357.0
GRACE BAPTIST CHURCH,0.00,17.00,12.00,0.00,4.00,2.00,0.00,1.00,0.00,0.00,5.00,5.00,0.00,6.00,6.00,0.00,215.0,244.0,1.00,98.00,80.00,696.0
CHRIST SANCTIFIED,0.00,8.00,6.00,0.00,1.00,3.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,6.00,1.00,0.00,187.0,209.0,0.00,44.00,34.00,502.0
BLANCHARD PARK,0.00,5.00,7.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,140.0,127.0,0.00,29.00,13.00,326.0
MTZ COL FIRE DEPT #4,0.00,5.00,6.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,3.00,2.00,0.00,1.00,0.00,0.00,100.0,117.0,0.00,39.00,24.00,298.0
BELAIR BAPTIST CHURCH,0.00,8.00,7.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,4.00,4.00,0.00,7.00,1.00,0.00,163.0,202.0,0.00,51.00,39.00,490.0
MARVIN METHODIST,0.00,7.00,5.00,0.00,3.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,2.00,0.00,146.0,133.0,0.00,37.00,16.00,354.0
WESTSIDE BAPT CHURCH,0.00,3.00,5.00,0.00,0.00,2.00,0.00,0.00,1.00,0.00,3.00,3.00,0.00,3.00,0.00,0.00,184.0,195.0,0.00,19.00,14.00,432.0
