AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,16.67,0.00,5.88,0.00,0.00,4.87,2.63,4.42
25-29,7.14,0.00,3.03,0.00,0.00,5.09,5.33,5.04
30-34,0.00,9.09,0.00,0.00,16.67,6.68,2.99,6.10
35-39,0.00,14.29,10.00,0.00,0.00,9.18,4.76,8.56
40-44,14.29,0.00,11.11,0.00,0.00,11.36,11.11,11.23
45-49,14.29,0.00,7.69,0.00,12.50,13.08,6.43,12.42
50-54,0.00,20.00,13.64,0.00,16.67,16.70,10.88,16.14
55-59,50.00,16.67,13.33,0.00,28.57,19.88,8.21,19.06
60-64,0.00,33.33,12.50,0.00,25.00,27.55,8.70,26.03
65-OVER,0.00,33.33,14.29,0.00,25.00,36.91,20.50,35.61
TOTAL,9.20,10.00,7.81,0.00,14.08,19.80,8.46,18.42
