AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,7.41,6.78,6.35,0.0,8.45,5.47,0.0,0.0,0.0,0.0,8.43,4.11,0.0,10.08,8.47,9.38,11.16,10.64,0.0,9.91,6.01,9.48
25-29,9.09,4.13,4.64,0.0,11.24,3.39,0.0,0.0,0.0,0.0,5.86,2.79,0.0,7.79,3.77,0.0,6.3,6.2,0.0,8.23,2.9,5.74
30-34,22.22,10.5,9.63,0.0,4.92,7.58,0.0,16.67,0.0,0.0,7.37,4.55,0.0,8.55,7.41,0.0,12.23,10.64,0.0,8.52,7.75,10.64
35-39,26.67,14.18,12.9,0.0,13.46,12.35,0.0,10.53,11.11,0.0,7.34,9.47,0.0,13.23,13.69,25.0,18.84,15.12,0.0,17.6,12.31,15.58
40-44,27.78,18.97,15.37,0.0,19.17,14.42,0.0,0.0,26.67,0.0,17.19,14.08,12.5,18.01,20.35,20.0,24.31,19.76,0.0,20.19,15.98,20.3
45-49,46.15,18.62,18.24,0.0,16.04,17.12,0.0,16.67,26.32,0.0,17.18,17.9,0.0,12.66,20.98,20.0,26.61,25.31,0.0,22.29,18.89,23.29
50-54,27.27,20.56,19.13,0.0,13.89,17.28,0.0,16.67,14.29,0.0,15.17,13.37,0.0,11.43,15.1,9.09,27.86,27.4,0.0,18.22,16.27,24.78
55-59,0.0,21.94,20.13,0.0,22.5,27.08,0.0,14.29,28.57,0.0,15.04,15.94,0.0,10.26,10.38,20.0,28.52,30.84,0.0,20.51,22.56,26.86
60-64,20.0,22.37,23.93,0.0,9.38,19.05,0.0,0.0,33.33,0.0,15.58,10.47,0.0,14.39,8.8,40.0,31.46,33.44,0.0,20.34,27.5,29.45
65-OVER,0.0,32.82,37.53,0.0,26.32,22.73,0.0,20.0,50.0,0.0,19.42,15.87,0.0,11.78,13.36,27.78,40.05,44.81,0.0,36.04,40.16,39.29
TOTAL,19.15,19.16,18.81,0.0,14.37,13.74,0.0,9.65,17.35,0.0,12.15,10.14,5.26,13.05,15.27,15.52,25.26,25.21,0.0,18.58,15.81,22.54
