AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,4.550,1.990,2.470,0.00,5.560,7.250,2.330,4.770
25-29,6.450,2.190,1.820,0.00,3.640,4.130,2.080,3.250
30-34,2.700,3.890,2.670,0.00,8.000,7.990,6.370,6.510
35-39,3.850,6.820,7.230,0.00,8.110,10.59,7.620,9.080
40-44,2.860,9.050,4.290,0.00,13.33,13.54,9.370,11.78
45-49,9.520,10.92,2.020,0.00,6.670,16.81,9.750,14.35
50-54,2.080,15.49,11.11,0.00,12.20,17.73,10.02,16.18
55-59,10.34,16.31,15.58,0.00,27.59,21.85,11.96,19.66
60-64,14.71,23.36,15.79,0.00,16.67,26.78,16.83,25.17
65-OVER,13.56,27.18,17.05,0.00,20.00,34.08,22.37,32.14
TOTAL,6.930,12.01,6.860,0.00,11.56,20.97,10.22,17.59
