PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
001,14.57,14.99,7.140,14.77
002,11.42,16.63,12.50,14.30
003,12.56,14.29,25.00,13.52
004,11.46,13.37,20.00,12.52
005,18.69,20.61,12.50,19.66
006,14.61,14.47,15.38,14.54
007,17.32,19.34,18.75,18.35
008,13.32,13.22,12.50,13.27
009,13.95,13.70,0.00,13.77
010,15.69,17.42,0.00,16.63
011,12.26,13.49,16.67,12.94
012,10.29,11.75,3.850,11.02
013,12.09,12.75,16.67,12.43
014,20.24,22.81,23.08,21.58
015,12.76,14.85,10.00,13.92
016,14.27,16.55,5.560,15.47
017,7.560,10.69,0.00,9.220
018,13.15,14.86,6.250,14.04
019,15.10,17.32,0.00,16.25
02,0.00,0.00,0.00,0.00
020,7.890,9.930,14.29,8.970
021,8.970,9.970,20.00,9.550
022,22.64,23.01,16.67,22.83
023,8.370,9.970,22.22,9.270
024,10.46,10.14,5.260,10.27
025,12.31,12.42,6.250,12.35
026,12.08,12.33,5.260,12.19
027,16.47,16.78,0.00,16.56
028,14.82,13.58,17.65,14.17
029,21.43,19.47,20.00,20.40
030,14.10,16.37,0.00,15.32
031,14.22,12.82,14.29,13.50
032,16.58,18.65,6.670,17.59
033,20.19,21.54,0.00,20.79
034,12.38,14.79,7.690,13.66
035,18.35,18.87,18.18,18.62
036,20.59,23.08,12.50,21.87
037,7.300,8.480,9.090,7.950
038,8.360,8.160,0.00,8.230
039,12.42,11.66,9.090,12.01
040,17.22,16.54,15.38,16.86
041,12.63,15.40,13.64,14.16
042,15.91,15.28,12.50,15.57
043,8.110,11.59,12.50,10.07
044,10.93,15.03,7.690,13.15
045,19.28,22.91,25.00,21.20
046,16.52,19.47,33.33,18.21
047,20.75,21.59,11.11,21.15
048,15.60,16.08,14.29,15.84
049,14.67,15.37,0.00,15.00
050,9.020,10.97,25.00,10.17
051,5.590,8.510,0.00,7.130
052,19.75,20.03,0.00,19.86
053,12.80,14.25,11.11,13.62
054,12.25,11.03,10.00,11.62
055,11.84,10.94,8.700,11.35
056,15.76,17.89,22.22,16.94
057,11.85,12.18,9.680,12.01
058,8.290,10.30,11.76,9.400
059,6.340,8.950,0.00,7.790
060,6.690,8.640,3.700,7.790
061,18.49,18.86,25.00,18.71
062,25.11,25.89,0.00,25.46
063,19.86,19.54,25.00,19.72
064,16.87,20.08,36.36,18.70
065,12.19,13.77,10.00,12.96
066,8.820,10.72,6.250,9.790
067,11.30,11.67,5.560,11.48
068,15.59,17.38,8.330,16.49
069,16.09,16.27,0.00,16.14
07,0.00,0.00,0.00,0.00
070,17.05,16.91,9.090,16.96
071,14.13,16.85,23.08,15.63
072,4.530,6.690,0.00,5.730
073,18.56,20.87,33.33,19.88
074,8.260,12.46,9.090,10.58
075,18.01,20.86,9.090,19.53
076,15.35,19.64,23.08,17.75
077,11.28,12.83,15.62,12.15
078,17.55,17.83,0.00,17.63
079,18.54,18.93,12.50,18.72
080,16.95,18.52,10.71,17.74
081,13.50,16.64,0.00,15.15
082,9.700,12.67,10.53,11.40
083,14.14,15.22,12.50,14.69
084,12.83,13.67,0.00,13.21
085,16.23,16.42,20.00,16.35
086,8.140,10.08,15.38,9.240
087,12.83,14.80,50.00,13.90
088,11.80,14.96,11.11,13.53
089,13.81,13.13,0.00,13.40
090,10.41,12.65,0.00,11.61
091,16.76,18.56,0.00,17.68
092,21.52,22.08,50.00,21.85
093,18.74,18.94,8.330,18.81
094,18.62,18.55,10.00,18.55
095,5.800,8.320,25.00,7.310
096,19.94,19.90,30.00,19.95
097,13.42,14.70,0.00,14.03
098,11.19,14.36,18.18,12.87
099,12.22,14.72,21.43,13.56
100,13.28,14.78,0.00,13.99
101,16.90,16.58,12.50,16.71
102,15.82,15.75,25.00,15.81
103,10.87,11.98,5.000,11.44
104,13.38,18.37,12.50,16.17
105,14.20,12.25,0.00,13.14
106,13.90,14.30,4.350,14.06
107,16.62,19.25,0.00,17.93
108,13.41,14.84,0.00,14.19
109,20.72,22.96,0.00,21.79
110,11.44,12.58,0.00,12.01
111,13.56,14.20,16.67,13.92
112,24.41,25.02,11.11,24.69
113,14.23,13.46,0.00,13.77
114,13.68,13.87,8.330,13.76
115,11.97,15.40,25.00,13.82
116,9.900,11.27,12.90,10.65
117,6.120,8.600,10.00,7.520
118,17.79,18.30,0.00,18.00
119,21.04,21.06,18.18,21.04
120,10.77,14.08,0.00,12.41
121,16.05,17.30,9.090,16.67
122,11.85,15.68,28.57,14.04
123,8.400,12.05,8.330,10.32
124,11.82,12.45,0.00,12.10
125,25.36,22.98,38.89,24.31
126,20.81,20.74,9.090,20.73
127,14.32,15.44,0.00,14.89
128,15.29,16.43,0.00,15.79
129,12.84,10.85,17.65,11.85
130,12.19,12.25,10.00,12.22
131,15.92,16.13,5.260,15.97
132,18.27,19.87,16.67,19.09
133,13.40,13.80,10.53,13.60
134,17.58,18.86,28.57,18.33
135,11.72,11.92,9.090,11.82
136,10.94,12.67,6.670,11.83
137,12.76,12.24,6.670,12.47
138,15.95,17.08,15.38,16.51
139,11.04,13.66,0.00,12.40
140,16.30,19.16,7.140,17.73
141,13.98,15.93,12.50,14.99
142,15.29,15.08,20.00,15.20
143,16.14,16.83,4.350,16.45
144,9.740,13.08,7.140,11.56
145,12.59,15.74,5.880,14.31
146,17.29,18.84,14.29,18.12
147,13.13,16.09,13.04,14.72
148,18.88,19.88,0.00,19.33
149,21.01,18.94,20.00,19.93
150,5.840,6.730,8.330,6.320
151,16.17,15.82,0.00,15.94
152,14.31,14.46,0.00,14.34
153,13.56,12.67,0.00,13.05
154,13.12,14.20,22.22,13.71
155,13.37,13.31,16.67,13.35
156,14.03,16.52,0.00,15.38
88888,0.00,0.00,0.00,0.00
JB03,0.00,0.00,0.00,0.00
SI,0.00,0.00,0.00,0.00
TOTAL,13.81,14.99,10.66,14.42
