AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,4.760,3.920,3.650,0.00,9.090,7.520,1.200,5.890
25-29,0.00,1.850,2.780,100.0,0.00,4.110,2.810,3.760
30-34,11.11,6.000,2.560,0.00,6.250,8.330,1.180,7.360
35-39,0.00,8.700,1.790,0.00,0.00,12.41,5.920,11.18
40-44,0.00,6.250,2.220,0.00,0.00,16.45,11.81,15.31
45-49,6.450,4.000,8.160,0.00,25.00,19.62,9.430,17.95
50-54,0.00,4.350,2.780,0.00,0.00,21.52,9.930,19.62
55-59,13.04,13.04,10.71,0.00,0.00,27.20,7.970,25.21
60-64,5.880,21.95,9.090,0.00,14.29,30.84,12.68,29.01
65-OVER,8.470,22.09,8.330,0.00,20.00,38.79,21.58,37.39
TOTAL,5.590,9.960,4.080,6.250,6.360,23.56,7.720,21.17
