PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
WILSON,19.16,18.36,0.00,18.69
CHICOPEE,9.10,11.48,0.00,10.30
OAKWOOD I,12.90,13.07,0.00,12.98
OAKWOOD II,19.31,19.03,0.00,19.14
FLOWERY BRANCH I,14.89,15.83,20.00,15.40
FLOWERY BRANCH II,15.07,14.98,0.00,15.00
ROBERTS,14.65,14.01,16.67,14.33
MORGAN I,17.55,16.63,28.57,17.11
MORGAN II,19.51,18.25,0.00,18.85
CANDLER,17.18,16.58,0.00,16.84
TADMORE,10.83,10.95,0.00,10.87
GLADE,12.49,13.30,16.67,12.92
LULA,18.92,18.32,0.00,18.58
CLERMONT,25.94,23.31,0.00,24.55
QUILLIANS,26.36,22.59,0.00,24.35
BARK CAMP,16.13,15.27,0.00,15.66
CHESTATEE,17.24,15.09,0.00,16.12
FORK,18.24,17.51,0.00,17.86
WHELCHEL,21.49,21.07,14.29,21.26
WEST WHELCHEL,32.91,29.88,0.00,31.25
GAINESVILLE I,18.79,19.14,0.00,18.98
GAINESVILLE II,7.40,11.54,0.00,9.72
GAINESVILLE III,6.15,6.46,0.00,6.30
GAINESVILLE IV,14.88,15.96,16.67,15.45
GAINESVILLE V,14.83,12.54,0.00,13.56
GILLSVILLE,27.81,23.73,0.00,25.65
BIG HICKORY,26.74,23.73,0.00,25.18
FRIENDSHIP I,16.57,15.62,23.08,16.08
FRIENDSHIP II,13.72,13.72,0.00,13.69
FRIENDSHIP III,11.41,11.64,0.00,11.51
FRIENDSHIP IV,17.75,16.62,28.57,17.19
88888,0.00,0.00,0.00,0.00
99999,0.00,0.00,0.00,0.00
TOTAL,16.89,16.33,7.78,16.58
