PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
1A,0.00,36.62,0.00,0.00,0.00,10.74,9.260,20.83
1B,0.00,38.11,0.00,0.00,25.00,23.88,25.00,35.96
2A,25.00,37.53,50.00,0.00,33.33,28.83,15.91,35.01
2B,0.00,31.58,0.00,0.00,0.00,22.81,4.550,29.23
3A,0.00,25.75,0.00,0.00,0.00,16.67,0.00,23.60
3B,0.00,36.23,0.00,0.00,0.00,14.44,10.00,32.51
3C,0.00,52.22,0.00,0.00,0.00,18.30,7.140,29.57
4A,0.00,39.64,0.00,0.00,0.00,25.17,10.26,36.04
4B,0.00,34.36,0.00,0.00,0.00,17.74,6.250,27.37
4C,0.00,43.52,0.00,0.00,0.00,18.18,30.00,36.84
88888,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
99999,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TOTAL,16.67,36.55,7.690,0.00,9.520,17.73,11.51,30.87
