AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,2.780,11.11,0.00,0.00,6.040,1.650,5.300
25-29,0.00,5.190,0.00,0.00,0.00,4.710,5.560,4.740
30-34,0.00,3.750,0.00,0.00,0.00,5.980,5.560,5.750
35-39,12.50,4.920,22.22,33.33,25.00,8.440,8.140,8.480
40-44,10.00,6.900,10.00,100.0,0.00,10.90,6.980,10.52
45-49,0.00,6.150,0.00,0.00,25.00,14.67,8.700,13.87
50-54,0.00,11.59,0.00,0.00,22.22,18.13,7.290,17.15
55-59,22.22,1.520,0.00,0.00,0.00,23.09,15.96,21.64
60-64,20.00,20.83,0.00,0.00,20.00,25.06,8.820,23.94
65-OVER,7.140,17.46,0.00,0.00,0.00,34.48,13.79,32.95
TOTAL,7.500,8.850,5.800,9.520,8.200,17.73,7.550,16.61
