AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,3.74,4.88,3.24,0.00,2.66,4.53,2.86,4.24
25-29,1.42,3.67,3.24,14.29,2.19,3.21,1.44,3.12
30-34,1.90,6.57,2.55,0.00,3.42,4.95,2.54,5.10
35-39,3.38,10.93,4.39,0.00,6.45,6.00,3.39,7.39
40-44,4.03,15.15,5.53,0.00,5.26,8.18,4.14,10.05
45-49,3.05,17.14,9.30,0.00,4.41,10.39,8.68,12.09
50-54,6.21,22.19,6.62,9.09,16.18,13.96,9.74,15.89
55-59,5.88,27.47,7.32,12.50,18.18,19.04,10.32,20.44
60-64,9.79,33.16,9.17,0.00,6.15,23.47,15.90,25.03
65-OVER,7.14,35.70,12.00,41.67,20.88,31.53,16.99,31.14
TOTAL,4.67,17.08,5.81,7.48,7.45,15.41,6.17,14.67
