AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,3.61,2.86,0.00,0.00,6.07,1.49,5.08
25-29,0.00,4.07,0.00,0.00,0.00,4.05,0.00,3.72
30-34,0.00,3.16,0.00,0.00,0.00,7.25,0.00,6.10
35-39,0.00,12.59,0.00,0.00,0.00,13.36,0.00,12.54
40-44,0.00,9.01,0.00,0.00,100.0,14.36,6.25,13.31
45-49,0.00,15.53,0.00,0.00,0.00,20.28,0.00,19.02
50-54,0.00,13.66,10.00,0.00,33.33,22.05,13.04,20.07
55-59,0.00,28.40,14.29,0.00,0.00,23.45,10.34,23.76
60-64,0.00,30.17,0.00,0.00,0.00,30.02,9.09,29.34
65-OVER,33.33,31.49,16.67,0.00,0.00,36.08,10.34,34.77
TOTAL,4.76,17.64,4.30,0.00,9.09,20.99,4.58,19.61
