PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
1,0.00,40.49,0.00,0.00,0.00,28.16,12.20,31.78
10,0.00,22.26,4.880,33.33,25.00,14.94,4.290,15.01
2,0.00,20.52,66.67,0.00,0.00,26.16,12.50,23.19
3,0.00,22.22,0.00,0.00,50.00,24.86,16.00,24.01
4,0.00,14.54,0.00,0.00,5.260,17.61,5.340,15.88
5,0.00,28.00,0.00,0.00,0.00,15.15,3.810,15.16
6,3.570,26.62,0.00,0.00,9.680,17.15,7.120,17.35
7,6.900,35.44,0.00,0.00,9.090,19.82,7.500,19.43
8,0.00,15.28,2.220,0.00,0.00,13.83,6.250,13.02
9,0.00,10.67,4.650,0.00,3.850,14.57,4.450,12.51
99999,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TOTAL,1.970,20.06,2.990,7.690,9.350,16.72,5.940,16.16
