PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
001,0.00,7.000,8.000,0.00,4.000,4.000,0.00,0.00,0.00,0.00,1.000,0.00,0.00,1.000,1.000,1.000,348.0,395.0,0.00,50.00,33.00,853.0
002,0.00,12.00,21.00,0.00,5.000,4.000,0.00,0.00,0.00,0.00,7.000,12.00,0.00,8.000,4.000,0.00,355.0,435.0,0.00,246.0,171.0,1280.0
003,0.00,18.00,12.00,0.00,13.00,9.000,0.00,1.000,4.000,0.00,9.000,6.000,0.00,5.000,6.000,0.00,1059.0,1050.0,0.00,593.0,331.0,3116.0
004,0.00,1.000,1.000,0.00,1.000,1.000,0.00,0.00,0.00,0.00,0.00,1.000,0.00,0.00,0.00,0.00,71.00,74.00,0.00,38.00,22.00,210.0
005,0.00,8.000,9.000,0.00,7.000,7.000,0.00,1.000,0.00,0.00,4.000,4.000,0.00,2.000,7.000,0.00,494.0,555.0,0.00,127.0,93.00,1318.0
006,0.00,3.000,0.00,0.00,1.000,0.00,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0.00,0.00,0.00,12.00,22.00,0.00,227.0,101.0,368.0
007,0.00,2.000,6.000,0.00,0.00,2.000,0.00,0.00,0.00,0.00,2.000,1.000,0.00,0.00,0.00,0.00,176.0,220.0,0.00,63.00,49.00,521.0
008,0.00,3.000,9.000,0.00,1.000,0.00,0.00,0.00,1.000,0.00,1.000,1.000,0.00,4.000,2.000,0.00,215.0,249.0,0.00,30.00,21.00,537.0
009,0.00,3.000,11.00,0.00,1.000,5.000,0.00,1.000,0.00,0.00,1.000,1.000,0.00,1.000,1.000,0.00,189.0,189.0,0.00,17.00,15.00,435.0
99999,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TOTAL,0.00,57.00,77.00,0.00,33.00,32.00,0.00,3.000,5.000,0.00,26.00,27.00,0.00,21.00,21.00,1.000,2919.0,3189.0,0.00,1391.0,836.0,8638.0
