AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,1.0,16.0,27.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,6.0,3.0,0.0,140.0,174.0,0.0,7.0,2.0,390.0
25-29,0.0,7.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,77.0,58.0,0.0,4.0,1.0,162.0
30-34,0.0,25.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,120.0,112.0,0.0,10.0,4.0,284.0
35-39,1.0,26.0,24.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,3.0,2.0,0.0,174.0,157.0,0.0,6.0,6.0,406.0
40-44,0.0,22.0,21.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,7.0,3.0,0.0,270.0,220.0,0.0,16.0,8.0,578.0
45-49,0.0,30.0,25.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,1.0,1.0,322.0,328.0,0.0,14.0,4.0,741.0
50-54,0.0,23.0,26.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,2.0,2.0,0.0,365.0,339.0,0.0,13.0,11.0,792.0
55-59,0.0,16.0,11.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,4.0,3.0,0.0,398.0,391.0,0.0,22.0,8.0,863.0
60-64,0.0,12.0,20.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,4.0,0.0,438.0,440.0,0.0,22.0,16.0,961.0
65-OVER,0.0,40.0,40.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,4.0,10.0,0.0,1205.0,1193.0,0.0,37.0,35.0,2571.0
TOTAL,2.0,217.0,210.0,0.0,13.0,12.0,0.0,1.0,1.0,0.0,33.0,30.0,0.0,31.0,30.0,1.0,3509.0,3412.0,0.0,151.0,95.0,7748.0
