AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,0.0,7.32,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.94,10.44,0.0,7.41,0.0,6.51
25-29,0.0,4.65,2.63,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.42,10.61,0.0,3.51,5.08,8.24
30-34,100.0,2.56,5.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.11,11.02,0.0,12.77,5.41,8.35
35-39,0.0,7.89,4.88,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,10.43,13.5,0.0,12.0,4.65,10.81
40-44,0.0,14.29,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,16.1,17.65,0.0,16.67,8.33,15.45
45-49,0.0,11.11,13.51,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.26,17.39,0.0,18.18,17.02,17.58
50-54,0.0,17.39,8.7,0.0,0.0,33.33,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.62,23.9,0.0,20.78,4.35,20.18
55-59,0.0,11.11,11.36,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,26.9,27.7,0.0,17.33,14.81,24.08
60-64,0.0,30.43,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.46,33.94,0.0,30.14,27.03,29.75
65-OVER,0.0,10.64,19.61,0.0,33.33,0.0,0.0,0.0,100.0,0.0,66.67,0.0,0.0,0.0,0.0,0.0,40.78,44.98,0.0,26.42,25.22,39.43
TOTAL,25.0,10.0,7.21,0.0,19.23,5.0,0.0,33.33,14.29,0.0,5.56,2.17,0.0,15.38,0.0,0.0,22.8,25.74,0.0,18.3,12.57,21.38
