AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,0.0,2.63,0.85,0.0,0.0,13.33,0.0,0.0,0.0,0.0,1.96,0.0,0.0,0.0,0.0,100.0,3.89,6.11,0.0,4.66,2.55,3.82
25-29,0.0,3.7,4.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.55,5.0,0.0,0.0,16.67,0.0,5.97,5.54,0.0,4.05,0.62,3.65
30-34,0.0,0.0,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.81,0.0,0.0,0.0,0.0,0.0,4.47,6.71,0.0,8.55,7.89,6.72
35-39,0.0,10.81,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.91,7.2,0.0,13.55,7.66,8.78
40-44,0.0,16.0,7.14,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.27,10.16,0.0,21.09,11.06,12.52
45-49,0.0,8.82,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,14.2,16.05,0.0,21.19,20.41,16.83
50-54,0.0,0.0,3.12,0.0,0.0,50.0,0.0,0.0,0.0,0.0,6.67,0.0,0.0,0.0,0.0,0.0,15.31,17.96,0.0,25.88,19.21,18.03
55-59,0.0,2.7,6.45,0.0,0.0,0.0,0.0,0.0,100.0,0.0,18.75,6.25,0.0,0.0,33.33,0.0,18.16,21.61,0.0,30.49,27.2,22.3
60-64,0.0,14.81,7.41,0.0,33.33,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.41,29.7,0.0,39.74,35.68,29.73
65-OVER,0.0,14.58,20.83,0.0,28.57,40.0,0.0,0.0,66.67,0.0,9.09,8.33,0.0,7.14,0.0,0.0,28.41,34.91,0.0,38.61,40.64,33.42
TOTAL,0.0,6.41,4.87,0.0,8.0,16.67,0.0,0.0,40.0,0.0,5.36,1.73,0.0,4.65,6.06,50.0,17.46,20.28,0.0,20.27,16.41,17.58
