PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
1,20.00,0.00,10.00,0.00,15.38,27.30,8.420,25.78
10,14.29,16.67,25.00,0.00,11.11,30.95,17.27,29.98
11,0.00,28.57,11.11,0.00,33.33,25.68,6.360,24.26
12,0.00,20.00,0.00,0.00,40.00,25.19,3.890,23.20
2,0.00,0.00,4.170,0.00,0.00,22.39,11.02,20.99
3,0.00,50.00,25.00,0.00,0.00,26.34,14.29,25.41
4,0.00,20.00,0.00,0.00,0.00,25.94,15.19,24.82
5,33.33,0.00,0.00,25.00,0.00,20.25,6.120,19.04
6,11.11,9.090,20.00,0.00,28.57,20.61,6.120,19.36
7,50.00,16.67,33.33,0.00,0.00,22.60,9.260,21.73
8,23.53,14.55,7.690,0.00,0.00,25.15,5.350,22.89
9,0.00,0.00,13.33,0.00,0.00,18.92,3.370,17.26
TOTAL,11.69,14.62,10.66,4.000,13.24,24.73,8.100,23.23
